tag,mode,route,Z,A,threads,check,status,detail
v11.4.2,pristine,bound_decay,13,27,1,events,PASS,events=1000
v11.4.2,pristine,bound_decay,13,27,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.4.2,pristine,bound_decay,13,27,1,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.4.2,pristine,bound_decay,13,27,1,particles,PASS,particle table
v11.4.2,pristine,bound_decay,13,27,1,config,PASS,config=None expected=None
v11.4.2,pristine,bound_decay,13,27,1,lookups,PASS,not enabled
v11.4.2,pristine,bound_decay,13,27,1,levels,PASS,reference
v11.4.2,pristine,bound_decay,13,27,1,d9,PASS,not enabled
v11.4.2,pristine,bound_decay,13,27,1,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.4.2,pristine,bound_decay,13,27,1,threads,PASS,one-thread reference
v11.4.2,pristine,bound_decay,13,27,4,events,PASS,events=1000
v11.4.2,pristine,bound_decay,13,27,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.4.2,pristine,bound_decay,13,27,4,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.4.2,pristine,bound_decay,13,27,4,particles,PASS,particle table
v11.4.2,pristine,bound_decay,13,27,4,config,PASS,config=None expected=None
v11.4.2,pristine,bound_decay,13,27,4,lookups,PASS,not enabled
v11.4.2,pristine,bound_decay,13,27,4,levels,PASS,reference
v11.4.2,pristine,bound_decay,13,27,4,d9,PASS,not enabled
v11.4.2,pristine,bound_decay,13,27,4,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.4.2,pristine,bound_decay,13,27,4,threads,PASS,sorted worker records vs one thread
v11.4.2,patched-off,bound_decay,13,27,1,events,PASS,events=1000
v11.4.2,patched-off,bound_decay,13,27,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.4.2,patched-off,bound_decay,13,27,1,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.4.2,patched-off,bound_decay,13,27,1,particles,PASS,particle table
v11.4.2,patched-off,bound_decay,13,27,1,config,PASS,"config=['compiled', 'compiled', 'none', 'none'] expected=['compiled', 'compiled', 'none', 'none']"
v11.4.2,patched-off,bound_decay,13,27,1,lookups,PASS,not enabled
v11.4.2,patched-off,bound_decay,13,27,1,levels,PASS,off/default level array vs pristine
v11.4.2,patched-off,bound_decay,13,27,1,d9,PASS,not enabled
v11.4.2,patched-off,bound_decay,13,27,1,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.4.2,patched-off,bound_decay,13,27,1,threads,PASS,one-thread reference
v11.4.2,patched-off,bound_decay,13,27,4,events,PASS,events=1000
v11.4.2,patched-off,bound_decay,13,27,4,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.4.2,patched-off,bound_decay,13,27,4,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.4.2,patched-off,bound_decay,13,27,4,particles,PASS,particle table
v11.4.2,patched-off,bound_decay,13,27,4,config,PASS,"config=['compiled', 'compiled', 'none', 'none'] expected=['compiled', 'compiled', 'none', 'none']"
v11.4.2,patched-off,bound_decay,13,27,4,lookups,PASS,not enabled
v11.4.2,patched-off,bound_decay,13,27,4,levels,PASS,off/default level array vs pristine
v11.4.2,patched-off,bound_decay,13,27,4,d9,PASS,not enabled
v11.4.2,patched-off,bound_decay,13,27,4,parity,PASS,digest=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf reference=5d76d857bed82a6e13e1b2788e7d1b62ab8123befcff33c20389d08b691cdfaf
v11.4.2,patched-off,bound_decay,13,27,4,threads,PASS,sorted worker records vs one thread
v11.4.2,patched-default,bound_decay,13,27,1,events,PASS,events=1000
v11.4.2,patched-default,bound_decay,13,27,1,route,PASS,"rest=(1, 0) atomic_tracks=0"
v11.4.2,patched-default,bound_decay,13,27,1,target,PASS,"material=['1', '1', '13', '27', '0x1p+0'] expected=(1, 1, 13, 27, 1.0)"
v11.4.2,patched-default,bound_decay,13,27,1,particles,PASS,particle table
v11.4.2,patched-default,bound_decay,13,27,1,config,PASS,"config=['parity', 'compiled', 'set', '0.5.1'] expected=['parity', 'compiled', 'set', '0.5.1']"
v11.4.2,patched-default,bound_decay,13,27,1,lookups,PASS,not enabled
v11.4.2,patched-default,bound_decay,13,27,1,levels,PASS,off/default level array vs pristine
