Z,label,dagger,rate,rate_unc,bracketed,refs,locator,copy_read
17,Cl,false,1.39,0.09,false,39,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
17,Cl,false,1.333,0.006,false,*,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
17,Cl-35,false,1.80,0.05,false,86,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
17,Cl-37,false,1.25,0.05,false,86,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
17,Cl-nat,false,1.64,0.08,false,86,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr,false,3.24,0.08,false,39,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr,false,3.33,0.06,false,48,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr,false,3.472,0.031,false,*,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr-50,false,3.825,0.05,false,72,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr-52,false,3.452,0.047,false,72,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr-53,false,3.297,0.045,false,72,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr-54,false,3.057,0.042,false,72,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,Cr-nat,false,3.444,0.047,false,72,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
38,Sr,false,7.25,0.14,false,48,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
38,Sr,false,7.02,0.14,false,*,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
38,Sr-88,false,6.61,0.27,false,48,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
92,U-233,true,15.8,0.9,true,61f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-233,true,14.23,0.15,true,70f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-235,true,14.9,0.6,true,61f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-235,true,14.7,1.0,true,60f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-235,true,12.9,0.4,true,62f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-235,true,13.3,0.2,true,57f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-235,true,13.36,0.12,true,70f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-235,true,13.58,0.12,false,25f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,13.1,0.5,true,61f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,12.9,0.5,true,60f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,12.8,0.2,true,62f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,12.60,0.04,true,66f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,12.46,0.09,true,57f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,12.50,0.10,true,70f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,12.4,0.4,true,71f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,U-238,true,12.57,0.07,false,25f,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
