Z,A,isotope_resolved,evidence,locator,copy_read
1,1,true,"the cited primary measured muon capture in ultra-clean, deuterium-depleted hydrogen gas, i.e. protium","MuCap 2007 (Phys. Rev. Lett. 99, 032002) abstract p.1",arxiv-preprint
2,3,true,"the cited primary's Table 4.2 lists 3He and 4He as separate nuclides (caption: ""Some illustrative total capture rates"")","Measday 2001 (Phys. Rep. 354, 243) Table 4.2 p.295",published-pdf
2,4,true,"the cited primary's Table 4.2 lists 3He and 4He as separate nuclides (caption: ""Some illustrative total capture rates"")","Measday 2001 (Phys. Rep. 354, 243) Table 4.2 p.295",published-pdf
3,6,true,the primary lists the separated isotope Li-6,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
3,7,true,the primary lists the separated isotope Li-7,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
4,9,true,the primary lists Be with no mass number; Be is mononuclidic (Be-9 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
5,10,true,the primary lists the separated isotope B-10,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
5,11,true,the primary lists the separated isotope B-11,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
6,12,false,"the primary lists C with no mass number at this Z -- also C-13, which this mass number does not match -- so the value rests on an element target, not a separated isotope; C-12 is 98.93% of natural C",Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
6,13,true,the primary lists the separated isotope C-13,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
7,14,false,"the primary lists N only, with no mass number, so the value rests on an element target, not a separated isotope; N-14 is 99.64% of natural N",Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
8,16,false,"the primary lists O with no mass number at this Z -- also O-18, which this mass number does not match -- so the value rests on an element target, not a separated isotope; O-16 is 99.76% of natural O",Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
8,18,true,the primary lists the separated isotope O-18,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
9,19,true,the primary lists F with no mass number; F is mononuclidic (F-19 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
10,20,false,"the primary lists Ne only, with no mass number, so the value rests on an element target, not a separated isotope; Ne-20 is 90.48% of natural Ne",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
11,23,true,the primary lists Na with no mass number; Na is mononuclidic (Na-23 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
12,24,false,"the primary lists Mg only, with no mass number, so the value rests on an element target, not a separated isotope; Mg-24 is 78.99% of natural Mg",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
13,27,true,the primary lists Al with no mass number; Al is mononuclidic (Al-27 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
14,28,false,"the primary lists Si only, with no mass number, so the value rests on an element target, not a separated isotope; Si-28 is 92.22% of natural Si",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
15,31,true,the primary lists P with no mass number; P is mononuclidic (P-31 = 100% of the natural element),Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
16,32,false,"the primary lists S only, with no mass number, so the value rests on an element target, not a separated isotope; S-32 is 94.99% of natural S",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
17,35,true,"the primary lists the separated isotope Cl-35; A=35 is also round(Ar)=35 and the primary lists natural Cl too, and the compiled-in value equals the Cl-35 cell alone at the printed precision (capture_rate_cells.csv)",Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
