Z,A,parity_value,parity_unc,published_cells_at_z,equal_count,equal_locators
1,1,0.000725,0.000017,Table III p.2217 row 4 1H^b 420+-20 [s^-1]; Table III p.2217 row 5 1H^b 420+-60 [s^-1]; Table III p.2217 row 6 1H^b 470+-29 [s^-1],0,
2,3,0.002149,0.00017,Table III p.2217 row 7 3He 2170+170(-430) [s^-1]; Table III p.2217 row 8 3He 2140+-200 [s^-1]; Table III p.2217 row 9 4He 336+-75 [s^-1]; Table III p.2217 row 10 4He 375+30(-300) [s^-1]; Table III p.2217 row 11 4He 364+-46 [s^-1],0,
2,4,0.000356,0.000026,Table III p.2217 row 7 3He 2170+170(-430) [s^-1]; Table III p.2217 row 8 3He 2140+-200 [s^-1]; Table III p.2217 row 9 4He 336+-75 [s^-1]; Table III p.2217 row 10 4He 375+30(-300) [s^-1]; Table III p.2217 row 11 4He 364+-46 [s^-1],0,
3,6,0.004647,0.00012,Table III p.2217 row 12 6Li 6100+-1400 [s^-1]; Table III p.2217 row 13 6Li 4680+-120 [s^-1]; Table III p.2217 row 14 6Li 4180+-450 [s^-1]; Table III p.2217 row 15 7Li 1800+-1100 [s^-1]; Table III p.2217 row 16 7Li 2260+-120 [s^-1]; Table III p.2217 row 17 7Li 1810+-440 [s^-1],0,
3,7,0.002229,0.00012,Table III p.2217 row 12 6Li 6100+-1400 [s^-1]; Table III p.2217 row 13 6Li 4680+-120 [s^-1]; Table III p.2217 row 14 6Li 4180+-450 [s^-1]; Table III p.2217 row 15 7Li 1800+-1100 [s^-1]; Table III p.2217 row 16 7Li 2260+-120 [s^-1]; Table III p.2217 row 17 7Li 1810+-440 [s^-1],0,
4,9,0.006107,0.00019,Table III p.2217 row 18 Be 18+-10x10^3 [s^-1]; Table III p.2217 row 19 Be 10+-2x10^3 [s^-1]; Table III p.2217 row 20 Be 5.9+-0.2x10^3 [s^-1]; Table III p.2217 row 21 Be 7.4+-0.5x10^3 [s^-1],0,
5,10,0.02757,0.00063,Table III p.2217 row 22 10B 26.5+-1.5x10^3 [s^-1]; Table III p.2217 row 23 10B 27.8+-0.7x10^3 [s^-1]; Table III p.2217 row 24 11B 21.8+-1.6x10^3 [s^-1]; Table III p.2217 row 25 11B 21.9+-0.7x10^3 [s^-1],0,
5,11,0.02188,0.00064,Table III p.2217 row 22 10B 26.5+-1.5x10^3 [s^-1]; Table III p.2217 row 23 10B 27.8+-0.7x10^3 [s^-1]; Table III p.2217 row 24 11B 21.8+-1.6x10^3 [s^-1]; Table III p.2217 row 25 11B 21.9+-0.7x10^3 [s^-1],0,
6,12,0.03807,0.00031,Table III p.2217 row 26 C 44+-10x10^3 [s^-1]; Table III p.2217 row 27 C 36+-4x10^3 [s^-1]; Table III p.2217 row 28 C 37.3+-1.1x10^3 [s^-1]; Table III p.2217 row 29 C 36.1+-1.0x10^3 [s^-1]; Table III p.2217 row 30 C 37+-7x10^3 [s^-1]; Table III p.2217 row 31 C 39.7+-1.3x10^3 [s^-1]; Table III p.2217 row 32 C 36.5+-2.0x10^3 [s^-1]; Table III p.2217 row 33 C 30.3+-7x10^3 [s^-1]; Table III p.2217 row 34 C 37.6+-0.4x10^3 [s^-1]; Table III p.2217 row 35 C 35.2+-2.0x10^3 [s^-1]; Table III p.2217 row 36 C 37.7+-0.7x10^3 [s^-1]; Table III p.2217 row 37 C 38.8+-0.5x10^3 [s^-1]; Table III p.2217 row 38 13C 33.8+-0.4x10^3 [s^-1]; Table III p.2217 row 39 13C 37.6+-0.7x10^3 [s^-1],0,
6,13,0.03474,0.00034,Table III p.2217 row 26 C 44+-10x10^3 [s^-1]; Table III p.2217 row 27 C 36+-4x10^3 [s^-1]; Table III p.2217 row 28 C 37.3+-1.1x10^3 [s^-1]; Table III p.2217 row 29 C 36.1+-1.0x10^3 [s^-1]; Table III p.2217 row 30 C 37+-7x10^3 [s^-1]; Table III p.2217 row 31 C 39.7+-1.3x10^3 [s^-1]; Table III p.2217 row 32 C 36.5+-2.0x10^3 [s^-1]; Table III p.2217 row 33 C 30.3+-7x10^3 [s^-1]; Table III p.2217 row 34 C 37.6+-0.4x10^3 [s^-1]; Table III p.2217 row 35 C 35.2+-2.0x10^3 [s^-1]; Table III p.2217 row 36 C 37.7+-0.7x10^3 [s^-1]; Table III p.2217 row 37 C 38.8+-0.5x10^3 [s^-1]; Table III p.2217 row 38 13C 33.8+-0.4x10^3 [s^-1]; Table III p.2217 row 39 13C 37.6+-0.7x10^3 [s^-1],0,
7,14,0.06885,0.00057,Table III p.2217 row 40 N 86+-11x10^3 [s^-1]; Table III p.2217 row 41 N 65+-4x10^3 [s^-1]; Table III p.2217 row 42 N 60.2+-0.8x10^3 [s^-1]; Table III p.2217 row 43 N 68.4+-0.8x10^3 [s^-1]; Table III p.2217 row 44 N 69.3+-0.8x10^3 [s^-1],0,
8,16,0.10242,0.00059,Table III p.2217 row 45 O 159+-14x10^3 [s^-1]; Table III p.2217 row 46 O 98+-3x10^3 [s^-1]; Table III p.2217 row 47 O 98+-5x10^3 [s^-1]; Table III p.2217 row 48 O 95+-8x10^3 [s^-1]; Table III p.2217 row 49 O 102.6+-0.6x10^3 [s^-1]; Table III p.2217 row 50 18O 88.0+-1.5x10^3 [s^-1],0,
8,18,0.0880,0.0015,Table III p.2217 row 45 O 159+-14x10^3 [s^-1]; Table III p.2217 row 46 O 98+-3x10^3 [s^-1]; Table III p.2217 row 47 O 98+-5x10^3 [s^-1]; Table III p.2217 row 48 O 95+-8x10^3 [s^-1]; Table III p.2217 row 49 O 102.6+-0.6x10^3 [s^-1]; Table III p.2217 row 50 18O 88.0+-1.5x10^3 [s^-1],1,Table III p.2217 row 50
9,19,0.22905,0.00099,Table III p.2217 row 51 F 254+-22x10^3 [s^-1]; Table III p.2217 row 52 F 235+-10x10^3 [s^-1]; Table III p.2217 row 53 F 231+-6x10^3 [s^-1]; Table III p.2217 row 54 F 229+-1x10^3 [s^-1],1,Table III p.2217 row 54
10,20,0.2288,0.0045,Table IV p.2218 row 3 Ne 0.204+-0.010 [10^6/s]; Table IV p.2218 row 4 Ne 0.167+-0.030 [10^6/s]; Table IV p.2218 row 5 Ne 0.30+-0.02 [10^6/s]; Table IV p.2218 row 6 Ne 0.235+-0.005 [10^6/s],0,
11,23,0.3773,0.0014,Table IV p.2218 row 7 Na 0.387+-0.015 [10^6/s]; Table IV p.2218 row 8 Na 0.3772+-0.0014 [10^6/s],0,
