table,printed_page,page_row_ordinal,Z,z_from,target_label,label_from,target_basis,basis_rule,mean_life_ns,mean_life_unc_ns,rate,rate_unc,rate_unc_plus,rate_unc_minus,rate_exp10,rate_unit,rate_parenthesized,huff_factor,huff_from,refs,own_measurement,copy_read
III,2217,4,1,printed,1H^b,Table III p.2217 row 4,isotope,integer-mass-prefix,2194.903,0.066,420,20,,,0,s^-1,false,1.00,printed,34,false,published-scan
III,2217,5,1,Table III p.2217 row 4,1H^b,Table III p.2217 row 5,isotope,integer-mass-prefix,,,420,60,,,0,s^-1,false,1.00,printed,35,false,published-scan
III,2217,6,1,Table III p.2217 row 4,1H^b,Table III p.2217 row 5,isotope,integer-mass-prefix,2194.53,0.11,470,29,,,0,s^-1,false,1.00,Table III p.2217 row 5,36,false,published-scan
III,2217,7,2,printed,3He,Table III p.2217 row 7,isotope,integer-mass-prefix,,,2170,,170,-430,0,s^-1,false,1.00,printed,37,false,published-scan
III,2217,8,2,Table III p.2217 row 7,3He,Table III p.2217 row 7,isotope,integer-mass-prefix,,,2140,200,,,0,s^-1,false,1.00,Table III p.2217 row 7,38,false,published-scan
III,2217,9,2,Table III p.2217 row 7,4He,Table III p.2217 row 9,isotope,integer-mass-prefix,,,336,75,,,0,s^-1,false,,,39,false,published-scan
III,2217,10,2,Table III p.2217 row 7,4He,Table III p.2217 row 9,isotope,integer-mass-prefix,,,375,,30,-300,0,s^-1,false,,,37,false,published-scan
III,2217,11,2,Table III p.2217 row 7,4He,Table III p.2217 row 9,isotope,integer-mass-prefix,,,364,46,,,0,s^-1,false,,,60,false,published-scan
III,2217,12,3,printed,6Li,Table III p.2217 row 12,isotope,integer-mass-prefix,2173,5,6100,1400,,,0,s^-1,false,,,1,false,published-scan
III,2217,13,3,Table III p.2217 row 12,6Li,Table III p.2217 row 12,isotope,integer-mass-prefix,2175.3,0.4,4680,120,,,0,s^-1,false,1.00,printed,6,false,published-scan
III,2217,14,3,Table III p.2217 row 12,6Li,Table III p.2217 row 12,isotope,integer-mass-prefix,2177.0,2.0,4180,450,,,0,s^-1,false,1.00,Table III p.2217 row 13,a,true,published-scan
III,2217,15,3,printed,7Li,Table III p.2217 row 15,isotope,integer-mass-prefix,2194,4,1800,1100,,,0,s^-1,false,,,1,false,published-scan
III,2217,16,3,Table III p.2217 row 15,7Li,Table III p.2217 row 15,isotope,integer-mass-prefix,2186.8,0.4,2260,120,,,0,s^-1,false,,,6,false,published-scan
III,2217,17,3,Table III p.2217 row 15,7Li,Table III p.2217 row 15,isotope,integer-mass-prefix,2188.3,2.0,1810,440,,,0,s^-1,false,,,a,true,published-scan
III,2217,18,4,printed,Be,Table III p.2217 row 18,unspecified,bare-symbol,2140,20,18,10,,,3,s^-1,false,1.00,printed,40,false,published-scan
III,2217,19,4,Table III p.2217 row 18,Be,Table III p.2217 row 18,unspecified,bare-symbol,2156,10,10,2,,,3,s^-1,false,1.00,Table III p.2217 row 18,1,false,published-scan
III,2217,20,4,Table III p.2217 row 18,Be,Table III p.2217 row 18,unspecified,bare-symbol,2169.0,1.0,5.9,0.2,,,3,s^-1,false,1.00,Table III p.2217 row 18,7,false,published-scan
III,2217,21,4,Table III p.2217 row 18,Be,Table III p.2217 row 18,unspecified,bare-symbol,2162.1,2.0,7.4,0.5,,,3,s^-1,false,1.00,Table III p.2217 row 18,a,true,published-scan
III,2217,22,5,printed,10B,Table III p.2217 row 22,isotope,integer-mass-prefix,2082,6,26.5,1.5,,,3,s^-1,false,1.00,printed,1,false,published-scan
III,2217,23,5,Table III p.2217 row 22,10B,Table III p.2217 row 22,isotope,integer-mass-prefix,2070.7,3.0,27.8,0.7,,,3,s^-1,false,1.00,Table III p.2217 row 22,a,true,published-scan
III,2217,24,5,Table III p.2217 row 22,11B,Table III p.2217 row 24,isotope,integer-mass-prefix,2102,6,21.8,1.6,,,3,s^-1,false,,,1,false,published-scan
III,2217,25,5,Table III p.2217 row 22,11B,Table III p.2217 row 24,isotope,integer-mass-prefix,2096.1,3.0,21.9,0.7,,,3,s^-1,false,,,a,true,published-scan
III,2217,26,6,printed,C,Table III p.2217 row 26,unspecified,bare-symbol,2020,20,44,10,,,3,s^-1,false,1.00,printed,40,false,published-scan
III,2217,27,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,,,36,4,,,3,s^-1,false,1.00,Table III p.2217 row 26,53,false,published-scan
III,2217,28,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2043,3,37.3,1.1,,,3,s^-1,false,1.00,Table III p.2217 row 26,41,false,published-scan
III,2217,29,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2041,5,36.1,1.0,,,3,s^-1,false,1.00,Table III p.2217 row 26,42,false,published-scan
III,2217,30,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2040,30,37,7,,,3,s^-1,false,1.00,Table III p.2217 row 26,43,false,published-scan
III,2217,31,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2025,4,39.7,1.3,,,3,s^-1,false,1.00,Table III p.2217 row 26,1,false,published-scan
III,2217,32,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2035,8,36.5,2.0,,,3,s^-1,false,1.00,Table III p.2217 row 26,27,false,published-scan
III,2217,33,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2060,30,30.3,7,,,3,s^-1,false,1.00,Table III p.2217 row 26,44,false,published-scan
III,2217,34,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2030.0,1.6,37.6,0.4,,,3,s^-1,false,1.00,Table III p.2217 row 26,7,false,published-scan
III,2217,35,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2040,10,35.2,2.0,,,3,s^-1,false,1.00,Table III p.2217 row 26,73,false,published-scan
III,2217,36,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2029,3,37.7,0.7,,,3,s^-1,false,1.00,Table III p.2217 row 26,29,false,published-scan
III,2217,37,6,Table III p.2217 row 26,C,Table III p.2217 row 26,unspecified,bare-symbol,2026.3,1.5,38.8,0.5,,,3,s^-1,false,1.00,Table III p.2217 row 26,a,true,published-scan
III,2217,38,6,Table III p.2217 row 26,13C,Table III p.2217 row 38,isotope,integer-mass-prefix,2045,2,33.8,0.4,,,3,s^-1,false,,,29,false,published-scan
III,2217,39,6,Table III p.2217 row 26,13C,Table III p.2217 row 38,isotope,integer-mass-prefix,2029.1,3.0,37.6,0.7,,,3,s^-1,false,,,a,true,published-scan
III,2217,40,7,printed,N,Table III p.2217 row 40,unspecified,bare-symbol,1860,20,86,11,,,3,s^-1,false,1.00,printed,40,false,published-scan
III,2217,41,7,Table III p.2217 row 40,N,Table III p.2217 row 40,unspecified,bare-symbol,1927,13,65,4,,,3,s^-1,false,1.00,Table III p.2217 row 40,1,false,published-scan
III,2217,42,7,Table III p.2217 row 40,N,Table III p.2217 row 40,unspecified,bare-symbol,1940.5,2.8,60.2,0.8,,,3,s^-1,false,1.00,Table III p.2217 row 40,7,false,published-scan
III,2217,43,7,Table III p.2217 row 40,N,Table III p.2217 row 40,unspecified,bare-symbol,1910,3,68.4,0.8,,,3,s^-1,false,1.00,Table III p.2217 row 40,29,false,published-scan
III,2217,44,7,Table III p.2217 row 40,N,Table III p.2217 row 40,unspecified,bare-symbol,1906.8,3.0,69.3,0.8,,,3,s^-1,false,1.00,Table III p.2217 row 40,a,true,published-scan
III,2217,45,8,printed,O,Table III p.2217 row 45,unspecified,bare-symbol,1640,30,159,14,,,3,s^-1,false,0.998,printed,40,false,published-scan
III,2217,46,8,Table III p.2217 row 45,O,Table III p.2217 row 45,unspecified,bare-symbol,1812,12,98,3,,,3,s^-1,false,0.998,Table III p.2217 row 45,1,false,published-scan
III,2217,47,8,Table III p.2217 row 45,O,Table III p.2217 row 45,unspecified,bare-symbol,1810,20,98,5,,,3,s^-1,false,0.998,Table III p.2217 row 45,44,false,published-scan
III,2217,48,8,Table III p.2217 row 45,O,Table III p.2217 row 45,unspecified,bare-symbol,1832,29,95,8,,,3,s^-1,false,0.998,Table III p.2217 row 45,73,false,published-scan
III,2217,49,8,Table III p.2217 row 45,O,Table III p.2217 row 45,unspecified,bare-symbol,1795.4,2.0,102.6,0.6,,,3,s^-1,false,0.998,Table III p.2217 row 45,a,true,published-scan
III,2217,50,8,Table III p.2217 row 45,18O,Table III p.2217 row 50,isotope,integer-mass-prefix,1844.0,4.5,88.0,1.5,,,3,s^-1,false,,,a,true,published-scan
III,2217,51,9,printed,F,Table III p.2217 row 51,unspecified,bare-symbol,1420,40,254,22,,,3,s^-1,false,0.998,printed,40,false,published-scan
III,2217,52,9,Table III p.2217 row 51,F,Table III p.2217 row 51,unspecified,bare-symbol,1450,20,235,10,,,3,s^-1,false,0.998,Table III p.2217 row 51,45,false,published-scan
