Z,printed_z,printed_zeff,underlined,locator,copy_read
1,1,1.0,false,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
2,2,1.98,false,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
3,3,2.94,true,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
4,4,3.89,false,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
5,5,4.81,true,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
6,6,5.72,false,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
7,7,6.61,false,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
8,8,7.49,false,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
9,9,8.32,false,Suzuki 1987 (TRI-PP-87-5) Table III p.24,preprint-scan
10,10,9.14,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
11,11,9.95,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
12,12,10.69,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
13,13,11.48,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
14,14,12.22,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
15,15,12.90,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
16,16,13.64,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
17,17,14.24,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
18,18,14.89,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
19,19,15.53,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
20,20,16.15,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
21,21,16.77,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
22,22,17.38,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
23,23,18.04,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
24,24,18.49,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
25,25,19.06,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.25,preprint-scan
26,26,19.59,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
27,27,20.13,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
28,28,20.66,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
29,29,21.12,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
30,30,21.61,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
31,31,22.02,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
32,32,22.43,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
33,33,22.84,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
34,34,23.24,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
35,35,23.65,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
37,37,24.47,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
38,38,24.85,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
39,39,25.23,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
40,40,25.61,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
41,41,25.99,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
42,42,26.37,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
45,45,27.32,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
46,46,27.63,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
47,47,27.95,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.26,preprint-scan
48,48,28.20,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
49,49,28.42,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
50,50,28.64,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
51,51,28.79,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
52,52,29.03,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
53,53,29.27,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
55,55,29.75,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
56,59,29.99,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
57,57,30.22,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
58,58,30.36,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
59,59,30.53,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
60,60,30.69,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
62,62,31.01,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
64,64,31.34,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
65,65,31.48,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
66,66,31.62,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
67,67,31.76,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
68,68,31.90,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
72,72,32.47,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
73,73,32.61,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
74,74,32.76,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
79,79,33.64,true,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
80,80,33.81,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
81,81,34.21,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
82,82,34.18,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.27,preprint-scan
83,83,34.0,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
90,90,34.73,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
92,92,34.94,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
93,93,35.05,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
94,94,35.16,false,Suzuki 1987 (TRI-PP-87-5) Table IV p.28,preprint-scan
