build,physics_list,particle,process,class,stopping_process,atomic_capture
preserved-v11.4.2,QBBC,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
preserved-v11.4.2,QBBC,mu-,Decay,G4Decay,false,false
preserved-v11.4.2,QBBC,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.4.2,QBBC,pi-,Decay,G4Decay,false,false
preserved-v11.4.2,QBBC,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.4.2,QBBC,kaon-,Decay,G4Decay,false,false
preserved-v11.4.2,QBBC,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
preserved-v11.4.2,FTFP_BERT,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
preserved-v11.4.2,FTFP_BERT,mu-,Decay,G4Decay,false,false
preserved-v11.4.2,FTFP_BERT,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.4.2,FTFP_BERT,pi-,Decay,G4Decay,false,false
preserved-v11.4.2,FTFP_BERT,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.4.2,FTFP_BERT,kaon-,Decay,G4Decay,false,false
preserved-v11.4.2,FTFP_BERT,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
preserved-v11.4.2,QBBC+helper,mu-,muMinusAtomicCaptureAtRest,G4MuonMinusAtomicCapture,false,true
preserved-v11.4.2,QBBC+helper,mu-,Decay,G4Decay,false,false
preserved-v11.4.2,QBBC+helper,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.4.2,QBBC+helper,pi-,Decay,G4Decay,false,false
preserved-v11.4.2,QBBC+helper,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.4.2,QBBC+helper,kaon-,Decay,G4Decay,false,false
preserved-v11.4.2,QBBC+helper,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
preserved-v11.5.0.beta,QBBC,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
preserved-v11.5.0.beta,QBBC,mu-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,QBBC,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.5.0.beta,QBBC,pi-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,QBBC,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.5.0.beta,QBBC,kaon-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,QBBC,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
preserved-v11.5.0.beta,FTFP_BERT,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
preserved-v11.5.0.beta,FTFP_BERT,mu-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,FTFP_BERT,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.5.0.beta,FTFP_BERT,pi-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,FTFP_BERT,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.5.0.beta,FTFP_BERT,kaon-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,FTFP_BERT,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
preserved-v11.5.0.beta,QBBC+helper,mu-,muMinusAtomicCaptureAtRest,G4MuonMinusAtomicCapture,false,true
preserved-v11.5.0.beta,QBBC+helper,mu-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,QBBC+helper,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.5.0.beta,QBBC+helper,pi-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,QBBC+helper,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
preserved-v11.5.0.beta,QBBC+helper,kaon-,Decay,G4Decay,false,false
preserved-v11.5.0.beta,QBBC+helper,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
clean-v11.4.2,QBBC,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
clean-v11.4.2,QBBC,mu-,Decay,G4Decay,false,false
clean-v11.4.2,QBBC,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.4.2,QBBC,pi-,Decay,G4Decay,false,false
clean-v11.4.2,QBBC,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.4.2,QBBC,kaon-,Decay,G4Decay,false,false
clean-v11.4.2,QBBC,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
clean-v11.4.2,FTFP_BERT,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
clean-v11.4.2,FTFP_BERT,mu-,Decay,G4Decay,false,false
clean-v11.4.2,FTFP_BERT,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.4.2,FTFP_BERT,pi-,Decay,G4Decay,false,false
clean-v11.4.2,FTFP_BERT,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.4.2,FTFP_BERT,kaon-,Decay,G4Decay,false,false
clean-v11.4.2,FTFP_BERT,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
clean-v11.4.2,QBBC+helper,mu-,muMinusAtomicCaptureAtRest,G4MuonMinusAtomicCapture,false,true
clean-v11.4.2,QBBC+helper,mu-,Decay,G4Decay,false,false
clean-v11.4.2,QBBC+helper,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.4.2,QBBC+helper,pi-,Decay,G4Decay,false,false
clean-v11.4.2,QBBC+helper,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.4.2,QBBC+helper,kaon-,Decay,G4Decay,false,false
clean-v11.4.2,QBBC+helper,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
clean-v11.5.0.beta,QBBC,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
clean-v11.5.0.beta,QBBC,mu-,Decay,G4Decay,false,false
clean-v11.5.0.beta,QBBC,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.5.0.beta,QBBC,pi-,Decay,G4Decay,false,false
clean-v11.5.0.beta,QBBC,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.5.0.beta,QBBC,kaon-,Decay,G4Decay,false,false
clean-v11.5.0.beta,QBBC,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
clean-v11.5.0.beta,FTFP_BERT,mu-,muMinusCaptureAtRest,G4MuonMinusCapture,true,false
clean-v11.5.0.beta,FTFP_BERT,mu-,Decay,G4Decay,false,false
clean-v11.5.0.beta,FTFP_BERT,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.5.0.beta,FTFP_BERT,pi-,Decay,G4Decay,false,false
clean-v11.5.0.beta,FTFP_BERT,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.5.0.beta,FTFP_BERT,kaon-,Decay,G4Decay,false,false
clean-v11.5.0.beta,FTFP_BERT,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
clean-v11.5.0.beta,QBBC+helper,mu-,muMinusAtomicCaptureAtRest,G4MuonMinusAtomicCapture,false,true
clean-v11.5.0.beta,QBBC+helper,mu-,Decay,G4Decay,false,false
clean-v11.5.0.beta,QBBC+helper,pi-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.5.0.beta,QBBC+helper,pi-,Decay,G4Decay,false,false
clean-v11.5.0.beta,QBBC+helper,kaon-,hBertiniCaptureAtRest,G4HadronicAbsorptionBertini,true,false
clean-v11.5.0.beta,QBBC+helper,kaon-,Decay,G4Decay,false,false
clean-v11.5.0.beta,QBBC+helper,anti_proton,hFritiofCaptureAtRest,G4HadronicAbsorptionFritiof,true,false
