build,material,element_index,z,atom_density,isotope_n,isotope_abundance,isotope_at_half,count,draws
preserved-v11.4.2,G4_TEFLON,0,6,0x1.6fab8ea0a077ap+64,12;13,0x1.fa858793dd98p-1;0x1.5e9e1b089a028p-7,12,351871,1400447
preserved-v11.4.2,G4_TEFLON,1,9,0x1.6fab8ea0a077bp+65,19,0x1p+0,19,696705,1400447
preserved-v11.4.2,G4_LITHIUM_FLUORIDE,0,3,0x1.a8801578fc6c6p+65,6;7,0x1.36e2eb1c432cap-4;0x1.d923a29c779a7p-1,7,351871,1400447
preserved-v11.4.2,G4_LITHIUM_FLUORIDE,1,9,0x1.a8801578fc6c6p+65,19,0x1p+0,19,696705,1400447
preserved-v11.4.2,G4_POLYVINYL_CHLORIDE,0,6,0x1.5badfe6260f9fp+64,12;13,0x1.fa858793dd98p-1;0x1.5e9e1b089a028p-7,12,479897,2097152
preserved-v11.4.2,G4_POLYVINYL_CHLORIDE,1,1,0x1.04c27ec9c8bb7p+65,1;2,0x1.fff0ed3d859c9p-1;0x1.e2584f4c6e6dap-14,1,119975,2097152
preserved-v11.4.2,G4_POLYVINYL_CHLORIDE,2,17,0x1.5badfe6260f9ep+63,35;37,0x1.83fe5c91d14e4p-1;0x1.f0068db8bac71p-3,35,448704,2097152
preserved-v11.4.2,G4_SODIUM_IODIDE,0,11,0x1.98e91dd98a387p+63,23,0x1p+0,23,250856,1048576
preserved-v11.4.2,G4_SODIUM_IODIDE,1,53,0x1.98e91dd98a386p+63,127,0x1p+0,127,797720,1048576
preserved-v11.4.2,G4_WATER,0,1,0x1.cfe806fff01a1p+65,1;2,0x1.fff0ed3d859c9p-1;0x1.e2584f4c6e6dap-14,1,323635,2097152
preserved-v11.4.2,G4_WATER,1,8,0x1.cfe806fff01ap+64,16;17;18,0x1.fec17ebaf1023p-1;0x1.8e757928e0c9dp-12;0x1.0cb295e9e1b08p-9,16,724941,2097152
preserved-v11.4.2,G4_POLYETHYLENE,0,6,0x1.1809930eeee27p+65,12;13,0x1.fa858793dd98p-1;0x1.5e9e1b089a028p-7,12,786432,2097152
preserved-v11.4.2,G4_POLYETHYLENE,1,1,0x1.1809930eeee27p+66,1;2,0x1.fff0ed3d859c9p-1;0x1.e2584f4c6e6dap-14,1,262144,2097152
preserved-v11.4.2,G4_SILICON_DIOXIDE,0,14,0x1.42b341c0a8e87p+64,28;29;30,0x1.d8373105ef51dp-1;0x1.7fa5b96877509p-5;0x1.f9ce6c7127254p-6,28,639376,2097152
preserved-v11.4.2,G4_SILICON_DIOXIDE,1,8,0x1.42b341c0a8e87p+65,16;17;18,0x1.fec17ebaf1023p-1;0x1.8e757928e0c9dp-12;0x1.0cb295e9e1b08p-9,16,409200,2097152
preserved-v11.4.2,zscan-1,0,1,0x1.2a7a81b1e000dp+66,3,0x1p+0,3,349525,1048576
preserved-v11.4.2,zscan-1,1,2,0x1.2a7a81b1e000dp+66,4,0x1p+0,4,699051,1048576
preserved-v11.4.2,zscan-2,0,2,0x1.41703ce6f13c1p+64,6,0x1p+0,6,174763,1048576
preserved-v11.4.2,zscan-2,1,10,0x1.41703ce6f13c1p+64,20,0x1p+0,20,873813,1048576
preserved-v11.4.2,zscan-3,0,3,0x1.41703ce6f13bfp+65,9,0x1p+0,9,629146,1048576
preserved-v11.4.2,zscan-3,1,2,0x1.41703ce6f13bfp+65,4,0x1p+0,4,419430,1048576
preserved-v11.4.2,zscan-4,0,4,0x1.052b317ba400bp+65,12,0x1p+0,12,699051,1048576
preserved-v11.4.2,zscan-4,1,2,0x1.052b317ba400cp+65,4,0x1p+0,4,349525,1048576
preserved-v11.4.2,zscan-5,0,5,0x1.b7dcf50621b06p+64,15,0x1p+0,15,748983,1048576
preserved-v11.4.2,zscan-5,1,2,0x1.b7dcf50621b07p+64,4,0x1p+0,4,299593,1048576
preserved-v11.4.2,zscan-6,0,6,0x1.7be1bc56c0011p+64,18,0x1p+0,18,786432,1048576
preserved-v11.4.2,zscan-6,1,2,0x1.7be1bc56c0011p+64,4,0x1p+0,4,262144,1048576
preserved-v11.4.2,zscan-7,0,7,0x1.4e4bc4754ccdcp+64,21,0x1p+0,21,815559,1048576
preserved-v11.4.2,zscan-7,1,2,0x1.4e4bc4754ccdcp+64,4,0x1p+0,4,233017,1048576
preserved-v11.4.2,zscan-8,0,8,0x1.2a7a81b1e000dp+64,24,0x1p+0,24,724941,1048576
preserved-v11.4.2,zscan-8,1,2,0x1.2a7a81b1e000dp+64,4,0x1p+0,4,323635,1048576
preserved-v11.4.2,zscan-9,0,9,0x1.0d97f103c2114p+64,27,0x1p+0,27,784451,1048576
preserved-v11.4.2,zscan-9,1,2,0x1.0d97f103c2115p+64,4,0x1p+0,4,264125,1048576
preserved-v11.4.2,zscan-10,0,10,0x1.eb9c996134b62p+63,30,0x1p+0,30,873813,1048576
preserved-v11.4.2,zscan-10,1,2,0x1.eb9c996134b61p+63,4,0x1p+0,4,174763,1048576
preserved-v11.4.2,zscan-11,0,11,0x1.c3c055979838bp+63,33,0x1p+0,33,887257,1048576
preserved-v11.4.2,zscan-11,1,2,0x1.c3c055979838bp+63,4,0x1p+0,4,161319,1048576
preserved-v11.4.2,zscan-12,0,12,0x1.a1deb592a0012p+63,36,0x1p+0,36,898779,1048576
preserved-v11.4.2,zscan-12,1,2,0x1.a1deb592a0013p+63,4,0x1p+0,4,149797,1048576
preserved-v11.4.2,zscan-13,0,13,0x1.84b75b82711eep+63,39,0x1p+0,39,908766,1048576
preserved-v11.4.2,zscan-13,1,2,0x1.84b75b82711eep+63,4,0x1p+0,4,139810,1048576
preserved-v11.4.2,zscan-14,0,14,0x1.6b5d7c7f8001p+63,42,0x1p+0,42,917504,1048576
preserved-v11.4.2,zscan-14,1,2,0x1.6b5d7c7f8001p+63,4,0x1p+0,4,131072,1048576
preserved-v11.4.2,zscan-15,0,15,0x1.551e4b146db7dp+63,45,0x1p+0,45,925214,1048576
preserved-v11.4.2,zscan-15,1,2,0x1.551e4b146db7dp+63,4,0x1p+0,4,123362,1048576
preserved-v11.4.2,zscan-16,0,16,0x1.41703ce6f13bfp+63,48,0x1p+0,48,932068,1048576
preserved-v11.4.2,zscan-16,1,2,0x1.41703ce6f13bfp+63,4,0x1p+0,4,116508,1048576
preserved-v11.4.2,zscan-17,0,17,0x1.2fe7c9df0000dp+63,51,0x1p+0,51,889941,1048576
preserved-v11.4.2,zscan-17,1,2,0x1.2fe7c9df0000dp+63,4,0x1p+0,4,158635,1048576
preserved-v11.4.2,zscan-18,0,18,0x1.202fa95c4b09ap+63,54,0x1p+0,54,943718,1048576
preserved-v11.4.2,zscan-18,1,2,0x1.202fa95c4b09ap+63,4,0x1p+0,4,104858,1048576
preserved-v11.4.2,zscan-19,0,19,0x1.120359afe2a04p+63,57,0x1p+0,57,948712,1048576
preserved-v11.4.2,zscan-19,1,2,0x1.120359afe2a04p+63,4,0x1p+0,4,99864,1048576
preserved-v11.4.2,zscan-20,0,20,0x1.052b317ba400cp+63,60,0x1p+0,60,953251,1048576
preserved-v11.4.2,zscan-20,1,2,0x1.052b317ba400cp+63,4,0x1p+0,4,95325,1048576
preserved-v11.4.2,zscan-21,0,21,0x1.f2f2ff032264cp+62,63,0x1p+0,63,957395,1048576
preserved-v11.4.2,zscan-21,1,2,0x1.f2f2ff032264bp+62,4,0x1p+0,4,91181,1048576
preserved-v11.4.2,zscan-22,0,22,0x1.dd90cf8300016p+62,66,0x1p+0,66,961195,1048576
preserved-v11.4.2,zscan-22,1,2,0x1.dd90cf8300016p+62,4,0x1p+0,4,87381,1048576
preserved-v11.4.2,zscan-23,0,23,0x1.c9f08edfcee8bp+62,69,0x1p+0,69,964690,1048576
preserved-v11.4.2,zscan-23,1,2,0x1.c9f08edfcee8bp+62,4,0x1p+0,4,83886,1048576
preserved-v11.4.2,zscan-24,0,24,0x1.b7dcf50621b05p+62,72,0x1p+0,72,967916,1048576
preserved-v11.4.2,zscan-24,1,2,0x1.b7dcf50621b05p+62,4,0x1p+0,4,80660,1048576
