record_id,source_id,class,gated,reason,stage,population,quantity,z1,z2,value_src,sigma_src,value_g4,result,method,method_gated,method_reason,method_result,screen
Stanislaus1987a-Table 1-17-3,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Na/O),11,8,1.00,0.05,2.455357142857143,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-4,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Mg/O),12,8,0.93,0.05,2.6785714285714284,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-5,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Al/O),13,8,0.94,0.03,2.901785714285714,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-6,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Si/O),14,8,0.98,0.03,3.1249999999999996,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-7,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Si/O),14,8,0.90,0.03,3.1249999999999996,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-8,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(P/O),15,8,0.97,0.03,3.3482142857142856,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-9,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Ca/O),20,8,1.69,0.09,4.4642857142857135,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-10,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Sc/O),21,8,2.23,0.25,4.687499999999999,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-11,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Ti/O),22,8,2.65,0.15,4.910714285714286,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-12,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Ti/O),22,8,2.71,0.14,4.910714285714286,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-13,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(V/O),23,8,3.04,0.16,5.133928571428571,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-14,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Cr/O),24,8,3.15,0.13,5.357142857142857,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-15,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Mn/O),25,8,2.89,0.14,5.580357142857142,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-16,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Mn/O),25,8,3.28,0.15,5.580357142857142,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-17,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Fe/O),26,8,3.48,0.24,5.803571428571428,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-18,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Fe/O),26,8,2.36,0.13,5.803571428571428,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-19,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Co/O),27,8,3.09,0.15,6.0267857142857135,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-20,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Ni/O),28,8,2.35,0.19,6.249999999999999,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-21,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Cu/O),29,8,2.20,0.25,6.473214285714285,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-22,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Zn/O),30,8,3.17,0.16,6.696428571428571,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-23,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Y/O),39,8,3.17,0.42,8.705357142857142,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-17-24,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Zr/O),40,8,2.89,0.13,8.928571428571427,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-18-3,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Nb/O),41,8,3.44,0.20,9.151785714285714,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-18-4,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Nb/O),41,8,3.57,0.19,9.151785714285714,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-18-5,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Mo/O),42,8,3.08,0.14,9.374999999999998,,lifetime,true,,outside,outside
Stanislaus1987a-Table 1-18-6,Stanislaus1987a,d2-selector-oxides,false,correction undocumented: cascade_correction,terminal,all_stops,A(Mo/O),42,8,3.86,0.18,9.374999999999998,,lifetime,true,,outside,outside
