cohort,source,Z,A,locator,comparator,representative,c_keV,sigma_keV,sigma_max_keV,sigma_min_keV,sigma_0_keV,q_keV,s_keV,r_d3_keV,r_stock_keV,margin_keV,stock_reason,screen,dU_keV,dgrid_keV,dnum_keV,u_certified,screen_at_reference,npol_keV,npol_l2_keV,npol_l3_keV,ratio,ratio_unc,ratio_source,ratio_locator,ratio_label,illustrative_c_keV,illustrative_q_minus_c_keV,excluded_gated,two_p_rows
labelled,Fricke1995,4,9,"Table IIIA, p. 205, row 9Be",center of gravity,true,33.402000000,0.010000000,,,,33.392443192,31.891650645,-0.009556808,-1.510349355,1.500792547,,inside,0.000076749,0.000000731,0.000077480,100,inside,0.001,,,,,,,,,,,
labelled,Fricke1995,6,12,"Table IIIA, p. 205, row 12C",center of gravity,true,75.258200000,0.000500000,,,,75.261047326,72.928611206,0.002847326,-2.329588794,2.326741468,,outside,0.000277602,0.000003887,0.000281489,300,outside,0.0025,,,,,,,,,,,
labelled,Fricke1995,8,16,"Table IIIA, p. 205, row 16O",center of gravity,true,133.535000000,0.002000000,,,,133.532449579,128.324128430,-0.002550421,-5.210871570,5.208321149,,inside,0.000714321,0.000014440,0.000728762,200,inside,0.005,,,,,,,,,,,
labelled,Fricke1995,11,23,"Table IIIA, p. 206, row 23Na",center of gravity,true,250.229000000,0.002000000,,,,250.223863606,241.353271921,-0.005136394,-8.875728079,8.870591685,,inside,0.002046892,0.000057267,0.002104159,300,inside,0.025,,,,,,,,,,,
labelled,Fricke1995,13,27,"Table IIIA, p. 206, row 27Al",center of gravity,true,346.828000000,0.002000000,,,,346.834883059,334.673435576,0.006883059,-12.154564424,12.147681365,,outside,0.003573340,0.000108296,0.003681636,400,outside,0.040,,,,,,,,,,,
labelled,Fricke1995,14,28,"Table IIIA, p. 206, row 28Si",center of gravity,true,400.173000000,0.005000000,,,,400.165477424,386.766160605,-0.007522576,-13.406839395,13.399316819,,inside,0.004541285,0.000144919,0.004686204,300,inside,0.055,,,,,,,,,,,
labelled,Fricke1995,18,40,"Table IIIA, p. 207, row 40Ar",center of gravity,true,644.004000000,0.025000000,,,,643.627044234,625.868896573,-0.376955766,-18.135103427,17.758147661,,outside,0.009833462,0.000387986,0.010221448,200,outside,0.126,,,,,,,,,,,
constructed,Fricke1995,21,45,"Table IIIA, p. 207, row 45Sc",degeneracy-convention centroid,true,856.398333333,,0.041000000,0.013666667,0.030559596,856.365797437,836.752091631,-0.032535896,-19.646241702,19.613705806,,inside,0.015628270,0.000664280,0.016292550,200,inside,,0.182,0.203,,,,,,,,,
constructed,Fricke1995,26,56,"Table IIIA, p. 209, row 56Fe",degeneracy-convention centroid,true,1255.671000000,,0.048666667,0.010000000,0.035131499,1255.510937706,1233.725771599,-0.160062294,-21.945228401,21.785166107,,outside,0.028503393,0.001346820,0.029850213,300,correlation-dependent,,0.403,0.403,,,,,,,,,
constructed,Fricke1995,29,63,"Table IIIA, p. 210, row 63Cu",degeneracy-convention centroid,true,1512.318666667,,0.051333333,0.011333333,0.037172272,1512.164751704,1490.830780261,-0.153914963,-21.487886406,21.333971443,,correlation-dependent,0.037523574,0.001907240,0.039430815,300,correlation-dependent,,0.467,0.538,,,,,,,,,
constructed,Fricke1995,32,74,"Table IIIA, p. 211, row 74Ge",degeneracy-convention centroid,true,1771.830333333,,0.020000000,0.002666667,0.014267290,1771.154352356,1756.218717492,-0.675980978,-15.611615841,14.935634864,,outside,0.046517982,0.002593741,0.049111723,500,outside,,0.836,0.839,,,,,,,,,
constructed,Fricke1995,38,88,"Table IIIA, p. 214, row 88Sr",degeneracy-convention centroid,true,2336.352333333,,0.008666667,0.002000000,0.006289321,2335.956916383,2309.158914693,-0.395416951,-27.193418640,26.798001690,,outside,0.069731116,0.004132155,0.073863272,none,outside,,0.929,0.937,,,,,,,,,
constructed,Fricke1995,40,90,"Table IIIA, p. 214, row 90Zr [He86] [Ma83]",degeneracy-convention centroid,true,2529.456000000,,0.010333333,0.003000000,0.007608475,2529.354589792,2503.598187696,-0.101410208,-25.857812304,25.756402096,,outside,0.078123816,0.004709744,0.082833560,none,correlation-dependent,,0.968,0.975,,,,,,,,,
constructed,Fricke1995,40,90,"Table IIIA, p. 214, row 90Zr (dagger) [Ph85]",degeneracy-convention centroid,,2529.198666667,,0.022333333,0.007000000,0.016549589,2529.354589792,2503.598187696,0.155923126,-25.600478971,25.444555845,,outside,0.078123816,0.004709744,0.082833560,none,outside,,1.083,0.964,,,,,,,,,
constructed,Fricke1995,41,93,"Table IIIA, p. 215, row 93Nb",degeneracy-convention centroid,true,2618.926000000,,0.017333333,0.004000000,0.012578642,2618.555694794,2598.677904263,-0.370305206,-20.248095737,19.877790531,,outside,0.081419659,0.005023699,0.086443358,700,outside,,0.991,1.060,,,,,,,,,
constructed,Fricke1995,44,102,"Table IIIA, p. 216, row 102Ru",degeneracy-convention centroid,true,2884.072000000,,0.031000000,0.007666667,0.022580719,2883.250099042,2877.482024463,-0.821900958,-6.589975537,5.768074579,,outside,0.091082539,0.005993768,0.097076307,600,outside,,1.547,1.557,,,,,,,,,
constructed,Fricke1995,47,107,"Table IIIA, p. 218, row 107Ag",degeneracy-convention centroid,true,3171.913000000,,0.023333333,0.004666667,0.016825906,3170.603713446,3151.412529299,-1.309286554,-20.500470701,19.191184147,,outside,0.103651034,0.006968027,0.110619061,none,outside,,1.487,1.485,,,,,,,,,
constructed,Fricke1995,49,115,"Table IIIA, p. 219, row 115In",degeneracy-convention centroid,true,3352.169666667,,0.024666667,0.003333333,0.017600505,3351.012379212,3329.732739173,-1.157287454,-22.436927494,21.279640039,,outside,0.110816451,0.007642388,0.118458839,none,outside,,0.915,1.933,,,,,,,,,
constructed,Fricke1995,53,127,"Table IIIA, p. 221, row 127J",degeneracy-convention centroid,true,3704.948333333,,0.033666667,0.010333333,0.024902030,3704.396093694,3674.002649588,-0.552239639,-30.945683745,30.393444106,,outside,0.124608964,0.009005102,0.133614066,none,outside,,0.532,1.454,,,,,,,,,
constructed,Fricke1995,55,133,"Table IIIA, p. 223, row 133Cs",degeneracy-convention centroid,true,3881.991333333,,0.033666667,0.007666667,0.024415387,3881.736131960,3841.201953431,-0.255201373,-40.789379902,40.534178529,,outside,0.131755063,0.009686152,0.141441215,none,outside,,1.531,1.289,,,,,,,,,
constructed,Fricke1995,79,197,"Table IIIA, p. 225, row 197Au",degeneracy-convention centroid,true,5704.431333333,,0.150666667,0.053333333,0.113015240,5706.500360205,5517.944006207,2.069026872,-186.487327126,184.418300255,,outside,0.192017477,0.016690678,0.208708155,400,outside,,-0.538,-1.305,,,,,,,,,
constructed,Fricke1995,81,205,"Table IIIA, p. 226, row 205Tl",degeneracy-convention centroid,true,5837.263333333,,0.663333333,0.230000000,0.496442903,5841.524376794,5612.088600279,4.261043461,-225.174733054,220.913689593,,outside,0.195824922,0.017130541,0.212955462,200,outside,,3.737,3.737,,,,,,,,,
constructed,Fricke1995,82,208,"Table IIIA, p. 226, row 208Pb",degeneracy-convention centroid,true,5901.255333333,,0.093333333,0.026666667,0.068637534,5902.236247053,5673.880869898,0.980913720,-227.374463435,226.393549716,,outside,0.197049118,0.017330812,0.214379930,500,outside,,2.945,2.718,1.67,0.07,Jenkins1971,"Table 9, PDF p. 46, row R_p",This Experiment,5891.778615385;5893.642014981;5895.410204380,10.457631668;8.594232072;6.826042673,,
constructed,Saito2025,46,104,"Table III, p. 5, row 104Pd",degeneracy-convention centroid,true,3080.400000000,,0.233333333,0.033333333,0.166666667,3080.193308696,3060.849569046,-0.206691304,-19.550430954,19.343739650,,correlation-dependent,0.100082807,0.006634152,0.106716959,300,inside,,,,,,,,,,,,
constructed,Saito2025,46,106,"Table III, p. 5, row 106Pd",degeneracy-convention centroid,true,3072.766666667,,0.366666667,0.033333333,0.260341656,3072.397468491,3060.818960758,-0.369198175,-11.947705909,11.578507733,,correlation-dependent,0.099148665,0.006641288,0.105789953,200,correlation-dependent,,,,,,,,,,,,
constructed,Saito2025,46,108,"Table III, p. 5, row 108Pd",degeneracy-convention centroid,true,3065.366666667,,0.200000000,0.066666667,0.149071198,3064.463845933,3060.789471981,-0.902820734,-4.577194686,3.674373952,,outside,0.098206686,0.006649298,0.104855984,300,outside,,,,,,,,,,,,
constructed,Saito2025,46,110,"Table III, p. 5, row 110Pd",degeneracy-convention centroid,true,3057.933333333,,0.500000000,0.033333333,0.354338194,3057.397072201,3060.761043691,-0.536261132,2.827710358,2.291449225,,correlation-dependent,0.097374805,0.006657312,0.104032117,200,correlation-dependent,,,,,,,,,,,,
excluded,Fricke1995,24,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K1-L3,2p3/2-1s1/2:gated
excluded,Saito2025,46,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K1-L2,2p1/2-1s1/2:gated;2p3/2-1s1/2:hyperfine
excluded,Fricke1995,60,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K1-L3,2p3/2-1s1/2:gated
