Z,A,n,level_MeV
21,45,1,0x1.25604189374bcp+0
21,45,2,0x1.3cab7bd33449fp-2
21,45,3,0x1.197bfc49f5971p-3
21,45,4,0x1.3cab7bd33449fp-4
21,45,5,0x1.9556610e5768ep-5
21,45,6,0x1.197bfc49f5971p-5
21,45,7,0x1.9d9c0f71e6414p-6
21,45,8,0x1.3cab7bd33449fp-6
21,45,9,0x1.f46aa411b49acp-7
21,45,10,0x1.9556610e5768ep-7
21,45,11,0x1.4efd568f06a71p-7
21,45,12,0x1.197bfc49f5971p-7
21,45,13,0x1.dfb072dbf451bp-8
21,45,14,0x1.9d9c0f71e6414p-8
24,52,1,0x1.78d4fdf3b645ap+0
24,52,2,0x1.9dbfead87f1d6p-2
24,52,3,0x1.6fc709a3ff369p-3
24,52,4,0x1.9dbfead87f1d6p-4
24,52,5,0x1.08ccbf42e0b6ap-4
24,52,6,0x1.6fc709a3ff369p-5
24,52,7,0x1.0e3430e0fa328p-5
24,52,8,0x1.9dbfead87f1d6p-6
24,52,9,0x1.46e9cfae38308p-6
24,52,10,0x1.08ccbf42e0b6ap-6
24,52,11,0x1.b5af8411736d6p-7
24,52,12,0x1.6fc709a3ff369p-7
24,52,13,0x1.395f5e8ec440bp-7
24,52,14,0x1.0e3430e0fa328p-7
26,56,1,0x1.b53f7ced91687p+0
26,56,2,0x1.e5a824b1462d1p-2
26,56,3,0x1.afb1e7ba057d6p-3
26,56,4,0x1.e5a824b1462d1p-4
26,56,5,0x1.36d20300d0c0bp-4
26,56,6,0x1.afb1e7ba057d6p-5
26,56,7,0x1.3d29e3b7b071p-5
26,56,8,0x1.e5a824b1462d1p-6
26,56,9,0x1.7fba95172153p-6
26,56,10,0x1.36d20300d0c0bp-6
26,56,11,0x1.00e0571c2d94bp-6
26,56,12,0x1.afb1e7ba057d6p-7
26,56,13,0x1.6fd5b1c157fdcp-7
26,56,14,0x1.3d29e3b7b071p-7
29,63,1,0x1.0a5e353f7ced9p+1
29,63,2,0x1.2e2aa8f3c5511p-1
29,63,3,0x1.0c97b29fcbd64p-2
29,63,4,0x1.2e2aa8f3c5511p-3
29,63,5,0x1.82c5f6fa962a5p-4
29,63,6,0x1.0c97b29fcbd64p-4
29,63,7,0x1.8aaaa86d6a35ap-5
29,63,8,0x1.2e2aa8f3c5511p-5
29,63,9,0x1.dd7f76716a608p-6
29,63,10,0x1.82c5f6fa962a5p-6
29,63,11,0x1.3fa5b912cc801p-6
29,63,12,0x1.0c97b29fcbd64p-6
29,63,13,0x1.c9b84a2709918p-7
29,63,14,0x1.8aaaa86d6a35ap-7
32,74,1,0x1.3cccccccccccdp+1
