source,Z,A,initial_n,final_n,lines,quantities,lower_keV,upper_keV,gap_keV,empty,basis
Fricke1995,21,45,2,1,2,K1-L2;K1-L3,856.882,855.308,1.574,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,26,56,2,1,2,K1-L2;K1-L3,1256.915,1253.093,3.822,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,29,63,2,1,2,K1-L2;K1-L3,1514.311,1508.232,6.079,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,32,74,2,1,2,K1-L2;K1-L3,1774.830,1765.807,9.023,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,38,88,2,1,2,K1-L2;K1-L3,2342.168,2324.703,17.465,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,40,90,2,1,4,K1-L2;K1-L3;K1-L2;K1-L3,2536.470,2515.191,21.279,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,41,93,2,1,2,K1-L2;K1-L3,2626.632,2603.478,23.154,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,44,102,2,1,2,K1-L2;K1-L3,2893.819,2864.509,29.310,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,47,107,2,1,2,K1-L2;K1-L3,3184.239,3147.219,37.020,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,49,115,2,1,2,K1-L2;K1-L3,3366.696,3323.087,43.609,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,53,127,2,1,2,K1-L2;K1-L3,3723.643,3667.466,56.177,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,55,133,2,1,2,K1-L2;K1-L3,3902.543,3840.819,61.724,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,79,197,2,1,2,K1-L2;K1-L3,5760.333,5592.148,168.185,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,81,205,2,1,2,K1-L2;K1-L3,5895.280,5719.160,176.120,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,82,208,2,1,2,K1-L2;K1-L3,5962.584,5778.358,184.226,true,"journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Saito2025,46,104,2,1,2,K1-L2;K1-L3,3091.1,3058.7,32.4,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,3,2,2,L3-M5;L2-M4,862.7,833.7,29.0,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,104,4,3,2,M5-N7;M4-N6,294.3,291.9,2.4,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,105,3,2,2,L3-M5;L2-M4,863.6,833.2,30.4,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,105,4,3,2,M5-N7;M4-N6,293.1,292.0,1.1,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,106,2,1,2,K1-L2;K1-L3,3083.1,3051.8,31.3,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,106,3,2,2,L3-M5;L2-M4,862.9,834.3,28.6,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,106,4,3,2,M5-N7;M4-N6,294.2,292.3,1.9,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,108,2,1,2,K1-L2;K1-L3,3076.0,3043.5,32.5,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,108,3,2,2,L3-M5;L2-M4,863.2,833.6,29.6,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,108,4,3,2,M5-N7;M4-N6,294.6,291.9,2.7,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,110,2,1,2,K1-L2;K1-L3,3067.6,3038.3,29.3,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,110,3,2,2,L3-M5;L2-M4,862.5,834.0,28.5,true,"arXiv:2204.03233v2 text layer, checked on its page image"
Saito2025,46,110,4,3,2,M5-N7;M4-N6,294.3,291.9,2.4,true,"arXiv:2204.03233v2 text layer, checked on its page image"
