Z,A,symbol,rms_fm,sigma_rms_fm,radius_fm,fermi_t_fm,most_abundant,iaea_rms_fm,source
1,1,H,0.8783,0.0086,1.133880424324658,2.3,1,0.8783,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
1,2,H,2.1421,0.0088,2.7654392086369692,2.3,1,2.1421,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
1,3,H,1.7591,0.0363,2.2709883347711557,2.3,1,1.7591,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
2,3,He,1.9661,0.0030,2.5382241856594674,2.3,4,1.9661,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
2,4,He,1.6755000000000002,0.0028,2.1630611988568424,2.3,4,1.6755,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
2,6,He,2.066,0.0111,2.667194531088174,2.3,4,2.0660,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
2,8,He,1.9238999999999997,0.0306,2.483744219922816,2.3,4,1.9239,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
3,6,Li,2.589,0.0390,3.3423846277770006,2.3,7,2.5890,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
3,7,Li,2.444,0.0420,3.1551904327103086,2.3,7,2.4440,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
3,8,Li,2.339,0.0440,3.0196360155930493,2.3,7,2.3390,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
3,9,Li,2.245,0.0460,2.898282537411884,2.3,7,2.2450,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
3,11,Li,2.482,0.0430,3.2042482217622696,2.3,7,2.4820,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
4,7,Be,2.646,0.0160,3.4159713113549417,2.3,9,2.6460,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160; charge_radii.csv sha256 683d028dae93235376ddf7a345f736561ee7c0dba070091912c034bdf740eee6
