run,Z,A,kind,line,delta_e_eV,w12_per_s
H1_base,1,1,base,K1-L2,1898.185553,116589628776.002548
H1_base,1,1,base,K1-L3,1898.193974,116587510212.553146
H1_base,1,1,base,L2-M4,351.222101,10018914025.311155
H1_base,1,1,base,L3-M4,351.213680,2003732877.269747
H1_base,1,1,base,L3-M5,351.214512,12022390906.548559
H1_base,1,1,base,M4-N6,122.920693,2392993533.580984
H1_base,1,1,base,M5-N6,122.919862,170926650.949921
H1_base,1,1,base,M5-N7,122.920037,2563902007.318258
H1_base,1,1,base,N6-O8,56.894431,762823273.505296
H1_base,1,1,base,N7-O8,56.894256,28252592.177647
H1_base,1,1,base,N7-O9,56.894310,791073265.529939
H1_base,1,1,base,O8-P10,30.905570,299063734.726617
H1_base,1,1,base,O9-P10,30.905516,6796885.634909
H1_base,1,1,base,O9-P11,30.905537,305860072.026162
H1_base,1,1,base,P10-Q12,18.635071,135662352.437373
H1_base,1,1,base,P11-Q12,18.635050,2087109.306687
H1_base,1,1,base,P11-Q13,18.635059,137749313.814005
H1_base,1,1,base,Q12-R14,12.094873,68502958.321138
H1_base,1,1,base,Q13-R14,12.094863,761142.910829
H1_base,1,1,base,Q13-R15,12.094868,69264058.936143
H1_rsig,1,1,rsig,K1-L2,1898.185552,116589628801.951370
H1_rsig,1,1,rsig,K1-L3,1898.193972,116587510231.179153
H1_rsig,1,1,rsig,L2-M4,351.222101,10018914025.278662
H1_rsig,1,1,rsig,L3-M4,351.213680,2003732877.278121
H1_rsig,1,1,rsig,L3-M5,351.214512,12022390906.616949
H1_rsig,1,1,rsig,M4-N6,122.920693,2392993533.580912
H1_rsig,1,1,rsig,M5-N6,122.919862,170926650.949916
H1_rsig,1,1,rsig,M5-N7,122.920037,2563902007.318171
H1_rsig,1,1,rsig,N6-O8,56.894431,762823273.505295
H1_rsig,1,1,rsig,N7-O8,56.894256,28252592.177647
H1_rsig,1,1,rsig,N7-O9,56.894310,791073265.529941
H1_rsig,1,1,rsig,O8-P10,30.905570,299063734.726617
H1_rsig,1,1,rsig,O9-P10,30.905516,6796885.634909
H1_rsig,1,1,rsig,O9-P11,30.905537,305860072.026163
H1_rsig,1,1,rsig,P10-Q12,18.635071,135662352.437373
H1_rsig,1,1,rsig,P11-Q12,18.635050,2087109.306687
H1_rsig,1,1,rsig,P11-Q13,18.635059,137749313.814005
H1_rsig,1,1,rsig,Q12-R14,12.094873,68502958.321138
H1_rsig,1,1,rsig,Q13-R14,12.094863,761142.910829
H1_rsig,1,1,rsig,Q13-R15,12.094868,69264058.936143
H2_base,1,2,base,K1-L2,1999.322935,122802371454.577118
H2_base,1,2,base,K1-L3,1999.331804,122800153383.550110
H2_base,1,2,base,L2-M4,369.920898,10552309361.486059
H2_base,1,2,base,L3-M4,369.912029,2110409307.819399
H2_base,1,2,base,L3-M5,369.912904,12662449584.346842
H2_base,1,2,base,M4-N6,129.464152,2520380012.544281
H2_base,1,2,base,M5-N6,129.463276,180025630.646369
H2_base,1,2,base,M5-N7,129.463461,2700386924.589813
H2_base,1,2,base,N6-O8,59.923088,803430505.587563
H2_base,1,2,base,N7-O8,59.922903,29756560.242368
H2_base,1,2,base,N7-O9,59.922960,833184416.420201
H2_base,1,2,base,O8-P10,32.550764,314983778.448984
H2_base,1,2,base,O9-P10,32.550707,7158702.964963
H2_base,1,2,base,O9-P11,32.550729,322141922.896993
H2_base,1,2,base,P10-Q12,19.627070,142884042.277911
H2_base,1,2,base,P11-Q12,19.627048,2198212.148796
H2_base,1,2,base,P11-Q13,19.627058,145082116.013646
H2_base,1,2,base,Q12-R14,12.738718,72149571.799822
H2_base,1,2,base,Q13-R14,12.738708,801660.700952
H2_base,1,2,base,Q13-R15,12.738713,72951189.432775
H2_rsig,1,2,rsig,K1-L2,1999.322931,122802371524.162979
H2_rsig,1,2,rsig,K1-L3,1999.331800,122800153460.564896
H2_rsig,1,2,rsig,L2-M4,369.920898,10552309361.473585
H2_rsig,1,2,rsig,L3-M4,369.912029,2110409307.801999
H2_rsig,1,2,rsig,L3-M5,369.912904,12662449584.223331
H2_rsig,1,2,rsig,M4-N6,129.464152,2520380012.544016
H2_rsig,1,2,rsig,M5-N6,129.463276,180025630.646357
H2_rsig,1,2,rsig,M5-N7,129.463461,2700386924.589484
H2_rsig,1,2,rsig,N6-O8,59.923088,803430505.587562
H2_rsig,1,2,rsig,N7-O8,59.922903,29756560.242369
H2_rsig,1,2,rsig,N7-O9,59.922960,833184416.420199
H2_rsig,1,2,rsig,O8-P10,32.550764,314983778.448984
H2_rsig,1,2,rsig,O9-P10,32.550707,7158702.964963
H2_rsig,1,2,rsig,O9-P11,32.550729,322141922.896994
H2_rsig,1,2,rsig,P10-Q12,19.627070,142884042.277911
H2_rsig,1,2,rsig,P11-Q12,19.627048,2198212.148796
H2_rsig,1,2,rsig,P11-Q13,19.627058,145082116.013646
H2_rsig,1,2,rsig,Q12-R14,12.738718,72149571.799822
H2_rsig,1,2,rsig,Q13-R14,12.738708,801660.700952
H2_rsig,1,2,rsig,Q13-R15,12.738713,72951189.432775
H3_base,1,3,base,K1-L2,2035.396157,125018523992.806290
H3_base,1,3,base,K1-L3,2035.405186,125016255813.026642
H3_base,1,3,base,L2-M4,376.591729,10742599220.006710
H3_base,1,3,base,L3-M4,376.582700,2148466292.592500
H3_base,1,3,base,L3-M5,376.583591,12890791800.757469
H3_base,1,3,base,M4-N6,131.798509,2565824612.822082
H3_base,1,3,base,M5-N6,131.797618,183271648.543832
H3_base,1,3,base,M5-N7,131.797806,2749077169.331491
H3_base,1,3,base,N6-O8,61.003550,817917047.141581
H3_base,1,3,base,N7-O8,61.003362,30293094.741120
H3_base,1,3,base,N7-O9,61.003420,848207381.448832
H3_base,1,3,base,O8-P10,33.137680,320663202.402810
H3_base,1,3,base,O9-P10,33.137623,7287780.668710
H3_base,1,3,base,O9-P11,33.137645,327950385.991760
H3_base,1,3,base,P10-Q12,19.980962,145460367.728243
H3_base,1,3,base,P11-Q12,19.980940,2237847.702386
H3_base,1,3,base,P11-Q13,19.980950,147698063.228438
H3_base,1,3,base,Q12-R14,12.968408,73450488.352856
H3_base,1,3,base,Q13-R14,12.968398,816115.319461
H3_base,1,3,base,Q13-R15,12.968403,74266555.275347
H3_rsig,1,3,rsig,K1-L2,2035.396144,125018524259.105438
H3_rsig,1,3,rsig,K1-L3,2035.405173,125016256072.641830
H3_rsig,1,3,rsig,L2-M4,376.591729,10742599217.578192
H3_rsig,1,3,rsig,L3-M4,376.582700,2148466292.122039
H3_rsig,1,3,rsig,L3-M5,376.583591,12890791800.634373
H3_rsig,1,3,rsig,M4-N6,131.798509,2565824612.858352
H3_rsig,1,3,rsig,M5-N6,131.797618,183271648.543786
H3_rsig,1,3,rsig,M5-N7,131.797806,2749077169.330302
H3_rsig,1,3,rsig,N6-O8,61.003550,817917047.141579
H3_rsig,1,3,rsig,N7-O8,61.003362,30293094.741120
H3_rsig,1,3,rsig,N7-O9,61.003420,848207381.448825
H3_rsig,1,3,rsig,O8-P10,33.137680,320663202.402810
H3_rsig,1,3,rsig,O9-P10,33.137623,7287780.668710
H3_rsig,1,3,rsig,O9-P11,33.137645,327950385.991761
H3_rsig,1,3,rsig,P10-Q12,19.980962,145460367.728242
H3_rsig,1,3,rsig,P11-Q12,19.980940,2237847.702386
H3_rsig,1,3,rsig,P11-Q13,19.980950,147698063.228438
H3_rsig,1,3,rsig,Q12-R14,12.968408,73450488.352856
H3_rsig,1,3,rsig,Q13-R14,12.968398,816115.319461
H3_rsig,1,3,rsig,Q13-R15,12.968403,74266555.275346
He3_base,2,3,base,K1-L2,8148.374715,2002466624584.263672
He3_base,2,3,base,K1-L3,8148.519357,2002378122177.883545
He3_base,2,3,base,L2-M4,1506.788519,171928997048.051544
He3_base,2,3,base,L3-M4,1506.643877,34382092295.214668
He3_base,2,3,base,L3-M5,1506.658139,206295103407.361908
He3_base,2,3,base,M4-N6,527.215613,41054697386.032677
He3_base,2,3,base,M5-N6,527.201351,2932361814.129151
He3_base,2,3,base,M5-N7,527.204358,43985962092.727531
He3_base,2,3,base,N6-O8,244.016962,13086792414.152924
He3_base,2,3,base,N7-O8,244.013955,484685665.263258
He3_base,2,3,base,N7-O9,244.014879,13571324370.739212
He3_base,2,3,base,O8-P10,132.551477,5130632814.072749
He3_base,2,3,base,O9-P10,132.550553,116603730.358251
He3_base,2,3,base,O9-P11,132.550910,5247204959.356618
He3_base,2,3,base,P10-Q12,79.924129,2327371555.289031
He3_base,2,3,base,P11-Q12,79.923773,35805382.254083
He3_base,2,3,base,P11-Q13,79.923933,2363168533.787226
He3_base,2,3,base,Q12-R14,51.873753,1175209644.865374
He3_base,2,3,base,Q13-R14,51.873592,13057793.409168
He3_base,2,3,base,Q13-R15,51.873673,1188264731.779401
He3_rsig,2,3,rsig,K1-L2,8148.374688,2002466626712.695801
He3_rsig,2,3,rsig,K1-L3,8148.519330,2002378124335.569336
He3_rsig,2,3,rsig,L2-M4,1506.788519,171928997048.482239
He3_rsig,2,3,rsig,L3-M4,1506.643877,34382092295.235184
He3_rsig,2,3,rsig,L3-M5,1506.658139,206295103407.461914
He3_rsig,2,3,rsig,M4-N6,527.215613,41054697386.022377
He3_rsig,2,3,rsig,M5-N6,527.201351,2932361814.129059
He3_rsig,2,3,rsig,M5-N7,527.204358,43985962092.712296
He3_rsig,2,3,rsig,N6-O8,244.016962,13086792414.152897
He3_rsig,2,3,rsig,N7-O8,244.013955,484685665.263267
He3_rsig,2,3,rsig,N7-O9,244.014879,13571324370.739061
He3_rsig,2,3,rsig,O8-P10,132.551477,5130632814.072746
He3_rsig,2,3,rsig,O9-P10,132.550553,116603730.358251
He3_rsig,2,3,rsig,O9-P11,132.550910,5247204959.356627
He3_rsig,2,3,rsig,P10-Q12,79.924129,2327371555.289037
He3_rsig,2,3,rsig,P11-Q12,79.923773,35805382.254083
He3_rsig,2,3,rsig,P11-Q13,79.923933,2363168533.787221
He3_rsig,2,3,rsig,Q12-R14,51.873753,1175209644.865373
He3_rsig,2,3,rsig,Q13-R14,51.873592,13057793.409168
He3_rsig,2,3,rsig,Q13-R15,51.873673,1188264731.779399
He4_base,2,4,base,K1-L2,8221.692755,2020515608461.384766
He4_base,2,4,base,K1-L3,8221.838702,2020426430123.006836
He4_base,2,4,base,L2-M4,1520.378805,173479806506.509796
He4_base,2,4,base,L3-M4,1520.232857,34692220085.501068
He4_base,2,4,base,L3-M5,1520.247248,208155890779.070099
He4_base,2,4,base,M4-N6,531.968506,41424811474.586639
He4_base,2,4,base,M5-N6,531.954116,2958797581.886809
He4_base,2,4,base,M5-N7,531.957150,44382501169.964050
He4_base,2,4,base,N6-O8,246.216652,13204762346.758516
He4_base,2,4,base,N7-O8,246.213618,489054882.981469
He4_base,2,4,base,N7-O9,246.214549,13693662758.860374
He4_base,2,4,base,O8-P10,133.746356,5176882741.355824
He4_base,2,4,base,O9-P10,133.745425,117654833.453056
He4_base,2,4,base,O9-P11,133.745785,5294505921.878061
He4_base,2,4,base,P10-Q12,80.644601,2348351659.338303
He4_base,2,4,base,P11-Q12,80.644241,36128148.393302
He4_base,2,4,base,P11-Q13,80.644403,2384471176.194069
He4_base,2,4,base,Q12-R14,52.341366,1185803554.862653
He4_base,2,4,base,Q13-R14,52.341204,13175502.182867
He4_base,2,4,base,Q13-R15,52.341285,1198976263.206238
He4_rsig,2,4,rsig,K1-L2,8221.692733,2020515610228.385986
He4_rsig,2,4,rsig,K1-L3,8221.838680,2020426431890.144043
He4_rsig,2,4,rsig,L2-M4,1520.378805,173479806506.690033
He4_rsig,2,4,rsig,L3-M4,1520.232857,34692220085.534927
He4_rsig,2,4,rsig,L3-M5,1520.247248,208155890779.279388
He4_rsig,2,4,rsig,M4-N6,531.968506,41424811474.578209
He4_rsig,2,4,rsig,M5-N6,531.954116,2958797581.886792
He4_rsig,2,4,rsig,M5-N7,531.957150,44382501169.951775
He4_rsig,2,4,rsig,N6-O8,246.216652,13204762346.758608
He4_rsig,2,4,rsig,N7-O8,246.213618,489054882.981483
He4_rsig,2,4,rsig,N7-O9,246.214549,13693662758.860252
He4_rsig,2,4,rsig,O8-P10,133.746356,5176882741.355825
He4_rsig,2,4,rsig,O9-P10,133.745425,117654833.453055
He4_rsig,2,4,rsig,O9-P11,133.745785,5294505921.878063
He4_rsig,2,4,rsig,P10-Q12,80.644601,2348351659.338299
He4_rsig,2,4,rsig,P11-Q12,80.644241,36128148.393303
He4_rsig,2,4,rsig,P11-Q13,80.644403,2384471176.194067
He4_rsig,2,4,rsig,Q12-R14,52.341366,1185803554.862658
He4_rsig,2,4,rsig,Q13-R14,52.341204,13175502.182867
He4_rsig,2,4,rsig,Q13-R15,52.341285,1198976263.206233
He6_base,2,6,base,K1-L2,8298.957705,2039481307374.424561
He6_base,2,6,base,K1-L3,8299.105018,2039391376362.215088
He6_base,2,6,base,L2-M4,1534.551965,175097114881.918549
He6_base,2,6,base,L3-M4,1534.404652,35015647519.128403
He6_base,2,6,base,L3-M5,1534.419177,210096476252.401459
He6_base,2,6,base,M4-N6,536.925555,41810823149.500206
He6_base,2,6,base,M5-N6,536.911030,2986368567.396738
He6_base,2,6,base,M5-N7,536.914093,44796073279.820023
He6_base,2,6,base,N6-O8,248.510834,13327800927.828146
He6_base,2,6,base,N7-O8,248.507772,493611771.536202
He6_base,2,6,base,N7-O9,248.508712,13821258240.609367
He6_base,2,6,base,O8-P10,134.992564,5225119426.763556
He6_base,2,6,base,O9-P10,134.991624,118751114.789153
He6_base,2,6,base,O9-P11,134.991987,5343838251.728931
He6_base,2,6,base,P10-Q12,81.396022,2370232818.933550
He6_base,2,6,base,P11-Q12,81.395659,36464779.972072
He6_base,2,6,base,P11-Q13,81.395823,2406688939.341717
He6_base,2,6,base,Q12-R14,52.829067,1196852458.007052
He6_base,2,6,base,Q13-R14,52.828903,13298267.289215
He6_base,2,6,base,Q13-R15,52.828985,1210148003.825930
He6_rsig,2,6,rsig,K1-L2,8298.917028,2039474089127.024658
He6_rsig,2,6,rsig,K1-L3,8299.064341,2039384159600.612061
He6_rsig,2,6,rsig,L2-M4,1534.552030,175097127842.547668
He6_rsig,2,6,rsig,L3-M4,1534.404717,35015650110.406731
He6_rsig,2,6,rsig,L3-M5,1534.419242,210096491799.212921
He6_rsig,2,6,rsig,M4-N6,536.925556,41810823136.167046
He6_rsig,2,6,rsig,M5-N6,536.911032,2986368566.444865
He6_rsig,2,6,rsig,M5-N7,536.914094,44796073265.550079
He6_rsig,2,6,rsig,N6-O8,248.510834,13327800927.737934
He6_rsig,2,6,rsig,N7-O8,248.507772,493611771.533134
He6_rsig,2,6,rsig,N7-O9,248.508712,13821258240.513704
He6_rsig,2,6,rsig,O8-P10,134.992564,5225119426.763467
He6_rsig,2,6,rsig,O9-P10,134.991624,118751114.789161
He6_rsig,2,6,rsig,O9-P11,134.991987,5343838251.728762
He6_rsig,2,6,rsig,P10-Q12,81.396022,2370232818.933543
He6_rsig,2,6,rsig,P11-Q12,81.395659,36464779.972072
He6_rsig,2,6,rsig,P11-Q13,81.395823,2406688939.341710
He6_rsig,2,6,rsig,Q12-R14,52.829067,1196852458.007052
He6_rsig,2,6,rsig,Q13-R14,52.828903,13298267.289215
He6_rsig,2,6,rsig,Q13-R15,52.828985,1210148003.825933
He8_rsig,2,8,rsig,K1-L2,8338.151523,2049088957581.165283
He8_rsig,2,8,rsig,K1-L3,8338.299527,2048998637708.329346
He8_rsig,2,8,rsig,L2-M4,1541.707462,175913650944.107880
He8_rsig,2,8,rsig,L3-M4,1541.559459,35178935060.010582
He8_rsig,2,8,rsig,L3-M5,1541.574051,211076219568.637665
He8_rsig,2,8,rsig,M4-N6,539.428306,42005713508.213577
He8_rsig,2,8,rsig,M5-N6,539.413714,3000289131.024412
He8_rsig,2,8,rsig,M5-N7,539.416791,45004883086.577431
He8_rsig,2,8,rsig,N6-O8,249.669142,13389920864.950329
He8_rsig,2,8,rsig,N7-O8,249.666065,495912489.389301
He8_rsig,2,8,rsig,N7-O9,249.667010,13885677149.228901
He8_rsig,2,8,rsig,O8-P10,135.621761,5249473011.633407
He8_rsig,2,8,rsig,O9-P10,135.620815,119304614.003081
He8_rsig,2,8,rsig,O9-P11,135.621180,5368745825.397582
He8_rsig,2,8,rsig,P10-Q12,81.775407,2381280290.870128
He8_rsig,2,8,rsig,P11-Q12,81.775042,36634740.245884
He8_rsig,2,8,rsig,P11-Q13,81.775206,2417906359.686611
He8_rsig,2,8,rsig,Q12-R14,53.075301,1202430962.317984
He8_rsig,2,8,rsig,Q13-R14,53.075137,13360250.428719
He8_rsig,2,8,rsig,Q13-R15,53.075220,1215788407.203340
