Z,A,n,state,full_binding_eV,ideal_binding_eV
1,1,6,P10,-70.2398,-70.2398
1,1,6,P11,-70.2398,-70.2398
1,1,7,Q12,-51.6048,-51.6048
1,1,7,Q13,-51.6048,-51.6048
1,1,8,R14,-39.5099,-39.5099
1,1,8,R15,-39.5099,-39.5099
1,2,6,P10,-73.9789,-73.9789
1,2,6,P11,-73.9789,-73.9789
1,2,7,Q12,-54.3518,-54.3518
1,2,7,Q13,-54.3518,-54.3518
1,2,8,R14,-41.6131,-41.6131
1,2,8,R15,-41.6131,-41.6131
1,3,6,P10,-75.3128,-75.3128
1,3,6,P11,-75.3128,-75.3128
1,3,7,Q12,-55.3318,-55.3318
1,3,7,Q13,-55.3318,-55.3318
1,3,8,R14,-42.3634,-42.3634
1,3,8,R15,-42.3634,-42.3634
2,3,6,P10,-301.252,-301.252
2,3,6,P11,-301.251,-301.251
2,3,7,Q12,-221.328,-221.328
2,3,7,Q13,-221.327,-221.327
2,3,8,R14,-169.454,-169.454
2,3,8,R15,-169.454,-169.454
2,4,6,P10,-303.967,-303.967
2,4,6,P11,-303.967,-303.967
2,4,7,Q12,-223.323,-223.323
2,4,7,Q13,-223.323,-223.323
2,4,8,R14,-170.981,-170.981
2,4,8,R15,-170.981,-170.981
2,6,6,P10,-306.8,-306.8
2,6,6,P11,-306.799,-306.799
2,6,7,Q12,-225.404,-225.404
2,6,7,Q13,-225.403,-225.403
2,6,8,R14,-172.575,-172.575
2,6,8,R15,-172.574,-172.574
2,8,6,P10,,-308.23
2,8,6,P11,,-308.229
2,8,7,Q12,,-226.454
2,8,7,Q13,,-226.454
2,8,8,R14,,
2,8,8,R15,,
3,6,6,P10,-690.294,-690.294
3,6,6,P11,-690.292,-690.292
3,6,7,Q12,-507.153,-507.153
3,6,7,Q13,-507.153,-507.153
3,6,8,R14,-388.289,-388.289
3,6,8,R15,-388.289,-388.289
3,7,6,P10,-692.121,-692.121
3,7,6,P11,-692.119,-692.119
3,7,7,Q12,-508.496,-508.496
3,7,7,Q13,-508.495,-508.495
3,7,8,R14,-389.317,-389.317
3,7,8,R15,-389.316,-389.316
3,8,6,P10,-693.505,-693.505
3,8,6,P11,-693.503,-693.503
3,8,7,Q12,-509.513,-509.513
3,8,7,Q13,-509.512,-509.512
3,8,8,R14,-390.096,-390.096
3,8,8,R15,-390.095,-390.095
3,9,6,P10,-694.583,-694.583
3,9,6,P11,-694.581,-694.581
3,9,7,Q12,-510.305,-510.305
3,9,7,Q13,-510.304,-510.304
3,9,8,R14,-390.702,-390.702
3,9,8,R15,-390.701,-390.701
3,11,6,P10,-696.16,-696.16
3,11,6,P11,-696.159,-696.159
3,11,7,Q12,-511.464,-511.464
3,11,7,Q13,-511.463,-511.463
3,11,8,R14,-391.589,-391.589
3,11,8,R15,-391.589,-391.589
4,7,6,P10,-1230.45,-1230.45
4,7,6,P11,-1230.44,-1230.44
4,7,7,Q12,-903.998,-903.998
4,7,7,Q13,-903.995,-903.995
4,7,8,R14,-692.122,-692.122
4,7,8,R15,-692.121,-692.121
4,9,6,P10,-1234.79,-1234.79
4,9,6,P11,-1234.79,-1234.79
4,9,7,Q12,-907.193,-907.193
4,9,7,Q13,-907.19,-907.19
4,9,8,R14,-694.568,-694.568
4,9,8,R15,-694.567,-694.567
4,10,6,P10,-1236.33,-1236.33
4,10,6,P11,-1236.33,-1236.33
4,10,7,Q12,-908.322,-908.322
4,10,7,Q13,-908.319,-908.319
4,10,8,R14,-695.433,-695.433
4,10,8,R15,-695.431,-695.431
4,11,6,P10,-1237.6,-1237.6
4,11,6,P11,-1237.59,-1237.59
4,11,7,Q12,-909.253,-909.253
4,11,7,Q13,-909.251,-909.251
4,11,8,R14,-696.146,-696.146
4,11,8,R15,-696.144,-696.144
5,10,6,P10,-1931.78,-1931.78
5,10,6,P11,-1931.76,-1931.76
5,10,7,Q12,-1419.26,-1419.26
5,10,7,Q13,-1419.25,-1419.25
5,10,8,R14,-1086.62,-1086.62
5,10,8,R15,-1086.61,-1086.61
5,11,6,P10,-1933.74,-1933.74
5,11,6,P11,-1933.72,-1933.72
5,11,7,Q12,-1420.7,-1420.7
5,11,7,Q13,-1420.69,-1420.69
5,11,8,R14,-1087.72,-1087.72
5,11,8,R15,-1087.72,-1087.72
6,12,6,P10,-2786.95,-2786.95
6,12,6,P11,-2786.92,-2786.92
6,12,7,Q12,-2047.54,-2047.54
6,12,7,Q13,-2047.53,-2047.53
6,12,8,R14,-1567.64,-1567.64
6,12,8,R15,-1567.63,-1567.63
6,13,6,P10,-2788.97,-2788.96
6,13,6,P11,-2788.94,-2788.94
6,13,7,Q12,-2049.02,-2049.02
6,13,7,Q13,-2049.01,-2049.01
6,13,8,R14,-1568.77,-1568.77
6,13,8,R15,-1568.77,-1568.77
6,14,6,P10,-2790.69,-2790.69
6,14,6,P11,-2790.66,-2790.66
6,14,7,Q12,-2050.29,-2050.29
6,14,7,Q13,-2050.27,-2050.27
6,14,8,R14,-1569.74,-1569.74
6,14,8,R15,-1569.74,-1569.74
7,14,6,P10,-3798.48,-3798.47
7,14,6,P11,-3798.42,-3798.41
7,14,7,Q12,-2790.68,-2790.68
7,14,7,Q13,-2790.66,-2790.66
7,14,8,R14,-2136.6,-2136.6
7,14,8,R15,-2136.59,-2136.59
7,15,6,P10,-3800.51,-3800.5
7,15,6,P11,-3800.45,-3800.44
7,15,7,Q12,-2792.17,-2792.17
7,15,7,Q13,-2792.15,-2792.15
7,15,8,R14,-2137.75,-2137.75
7,15,8,R15,-2137.73,-2137.73
8,16,6,P10,-4966.3,-4966.28
8,16,6,P11,-4966.21,-4966.19
8,16,7,Q12,-3648.65,-3648.65
8,16,7,Q13,-3648.61,-3648.61
8,16,8,R14,-2793.47,-2793.47
8,16,8,R15,-2793.45,-2793.45
8,17,6,P10,-4968.37,-4968.35
8,17,6,P11,-4968.27,-4968.26
8,17,7,Q12,-3650.17,-3650.17
8,17,7,Q13,-3650.13,-3650.13
8,17,8,R14,-2794.64,-2794.64
8,17,8,R15,-2794.62,-2794.62
8,18,6,P10,-4970.2,-4970.18
8,18,6,P11,-4970.1,-4970.09
8,18,7,Q12,-3651.51,-3651.51
8,18,7,Q13,-3651.47,-3651.47
8,18,8,R14,-2795.67,-2795.67
8,18,8,R15,-2795.65,-2795.65
9,19,6,P10,-6292.57,-6292.53
9,19,6,P11,-6292.42,-6292.38
9,19,7,Q12,-4623.01,-4623
9,19,7,Q13,-4622.94,-4622.94
9,19,8,R14,-3539.45,-3539.45
9,19,8,R15,-3539.42,-3539.42
10,17,6,P10,-7763.36,-7763.29
10,17,6,P11,-7763.13,-7763.06
10,17,7,Q12,-5703.53,-5703.52
10,17,7,Q13,-5703.43,-5703.42
10,17,8,R14,-4366.7,-4366.7
10,17,8,R15,-4366.65,-4366.65
10,18,6,P10,-7766.18,-7766.11
10,18,6,P11,-7765.95,-7765.88
10,18,7,Q12,-5705.6,-5705.59
10,18,7,Q13,-5705.5,-5705.49
10,18,8,R14,-4368.29,-4368.29
10,18,8,R15,-4368.24,-4368.24
10,19,6,P10,-7768.73,-7768.66
10,19,6,P11,-7768.5,-7768.43
10,19,7,Q12,-5707.48,-5707.47
10,19,7,Q13,-5707.37,-5707.36
10,19,8,R14,-4369.73,-4369.72
10,19,8,R15,-4369.67,-4369.67
10,20,6,P10,-7771.02,-7770.95
10,20,6,P11,-7770.79,-7770.72
10,20,7,Q12,-5709.16,-5709.15
10,20,7,Q13,-5709.05,-5709.04
10,20,8,R14,-4371.01,-4371.01
10,20,8,R15,-4370.96,-4370.96
10,21,6,P10,-7773.11,-7773.04
10,21,6,P11,-7772.88,-7772.81
10,21,7,Q12,-5710.69,-5710.68
10,21,7,Q13,-5710.59,-5710.58
10,21,8,R14,-4372.19,-4372.19
10,21,8,R15,-4372.14,-4372.13
10,22,6,P10,-7775,-7774.93
10,22,6,P11,-7774.77,-7774.7
10,22,7,Q12,-5712.09,-5712.07
10,22,7,Q13,-5711.98,-5711.97
10,22,8,R14,-4373.25,-4373.25
10,22,8,R15,-4373.2,-4373.2
10,23,6,P10,-7776.75,-7776.67
10,23,6,P11,-7776.52,-7776.44
10,23,7,Q12,-5713.36,-5713.35
10,23,7,Q13,-5713.26,-5713.25
10,23,8,R14,-4374.23,-4374.23
10,23,8,R15,-4374.18,-4374.18
10,24,6,P10,-7778.34,-7778.26
10,24,6,P11,-7778.11,-7778.03
10,24,7,Q12,-5714.53,-5714.52
10,24,7,Q13,-5714.43,-5714.42
10,24,8,R14,-4375.13,-4375.13
10,24,8,R15,-4375.07,-4375.07
10,25,6,P10,-7779.81,-7779.74
10,25,6,P11,-7779.58,-7779.5
10,25,7,Q12,-5715.61,-5715.6
10,25,7,Q13,-5715.51,-5715.5
10,25,8,R14,-4375.95,-4375.95
10,25,8,R15,-4375.9,-4375.9
10,26,6,P10,-7781.16,-7781.09
10,26,6,P11,-7780.93,-7780.86
10,26,7,Q12,-5716.61,-5716.6
10,26,7,Q13,-5716.5,-5716.49
10,26,8,R14,-4376.72,-4376.72
10,26,8,R15,-4376.66,-4376.66
10,28,6,P10,-7783.59,-7783.52
10,28,6,P11,-7783.36,-7783.29
10,28,7,Q12,-5718.39,-5718.38
10,28,7,Q13,-5718.29,-5718.28
10,28,8,R14,-4378.08,-4378.08
10,28,8,R15,-4378.03,-4378.03
11,20,6,P10,-9403.14,-9403.02
11,20,6,P11,-9402.8,-9402.68
11,20,7,Q12,-6908.18,-6908.16
11,20,7,Q13,-6908.03,-6908.01
11,20,8,R14,-5288.98,-5288.98
11,20,8,R15,-5288.91,-5288.9
11,21,6,P10,-9405.64,-9405.52
11,21,6,P11,-9405.31,-9405.18
11,21,7,Q12,-6910.02,-6910
11,21,7,Q13,-6909.87,-6909.85
11,21,8,R14,-5290.39,-5290.39
11,21,8,R15,-5290.31,-5290.31
11,22,6,P10,-9407.93,-9407.81
11,22,6,P11,-9407.6,-9407.47
11,22,7,Q12,-6911.7,-6911.68
11,22,7,Q13,-6911.55,-6911.53
11,22,8,R14,-5291.68,-5291.68
11,22,8,R15,-5291.6,-5291.6
11,23,6,P10,-9410.02,-9409.9
11,23,6,P11,-9409.69,-9409.56
11,23,7,Q12,-6913.24,-6913.22
11,23,7,Q13,-6913.09,-6913.07
11,23,8,R14,-5292.85,-5292.85
11,23,8,R15,-5292.78,-5292.77
11,24,6,P10,-9411.95,-9411.83
11,24,6,P11,-9411.62,-9411.49
11,24,7,Q12,-6914.65,-6914.63
11,24,7,Q13,-6914.5,-6914.48
11,24,8,R14,-5293.94,-5293.94
11,24,8,R15,-5293.86,-5293.86
11,25,6,P10,-9413.72,-9413.6
11,25,6,P11,-9413.39,-9413.26
11,25,7,Q12,-6915.95,-6915.93
11,25,7,Q13,-6915.8,-6915.78
11,25,8,R14,-5294.93,-5294.93
11,25,8,R15,-5294.86,-5294.86
11,26,6,P10,-9415.36,-9415.24
11,26,6,P11,-9415.03,-9414.9
11,26,7,Q12,-6917.16,-6917.14
11,26,7,Q13,-6917.01,-6916.99
11,26,8,R14,-5295.86,-5295.85
11,26,8,R15,-5295.78,-5295.78
11,27,6,P10,-9416.88,-9416.76
11,27,6,P11,-9416.55,-9416.42
11,27,7,Q12,-6918.28,-6918.26
11,27,7,Q13,-6918.12,-6918.1
11,27,8,R14,-5296.71,-5296.71
11,27,8,R15,-5296.64,-5296.63
11,28,6,P10,-9418.3,-9418.17
11,28,6,P11,-9417.96,-9417.83
11,28,7,Q12,-6919.31,-6919.29
11,28,7,Q13,-6919.16,-6919.14
11,28,8,R14,-5297.51,-5297.5
11,28,8,R15,-5297.43,-5297.43
11,29,6,P10,-9419.61,-9419.49
11,29,6,P11,-9419.28,-9419.15
11,29,7,Q12,-6920.28,-6920.26
11,29,7,Q13,-6920.13,-6920.11
11,29,8,R14,-5298.25,-5298.24
11,29,8,R15,-5298.17,-5298.17
11,30,6,P10,-9420.84,-9420.72
11,30,6,P11,-9420.51,-9420.38
11,30,7,Q12,-6921.19,-6921.16
11,30,7,Q13,-6921.03,-6921.01
11,30,8,R14,-5298.94,-5298.94
11,30,8,R15,-5298.86,-5298.86
11,31,6,P10,-9421.99,-9421.87
11,31,6,P11,-9421.65,-9421.53
11,31,7,Q12,-6922.03,-6922.01
11,31,7,Q13,-6921.88,-6921.86
11,31,8,R14,-5299.59,-5299.58
11,31,8,R15,-5299.51,-5299.51
12,24,6,P10,-11201.2,-11201
12,24,6,P11,-11200.7,-11200.5
12,24,7,Q12,-8229.1,-8229.06
12,24,7,Q13,-8228.88,-8228.85
12,24,8,R14,-6300.27,-6300.26
12,24,8,R15,-6300.16,-6300.15
12,25,6,P10,-11203.3,-11203.1
12,25,6,P11,-11202.9,-11202.6
12,25,7,Q12,-8230.65,-8230.61
12,25,7,Q13,-8230.44,-8230.4
12,25,8,R14,-6301.45,-6301.45
12,25,8,R15,-6301.35,-6301.34
12,26,6,P10,-11205.3,-11205.1
12,26,6,P11,-11204.8,-11204.6
12,26,7,Q12,-8232.08,-8232.04
12,26,7,Q13,-8231.86,-8231.83
12,26,8,R14,-6302.55,-6302.54
12,26,8,R15,-6302.44,-6302.43
13,27,6,P10,-13153.1,-13152.7
13,27,6,P11,-13152.4,-13152.1
13,27,7,Q12,-9662.94,-9662.88
13,27,7,Q13,-9662.65,-9662.58
13,27,8,R14,-7397.99,-7397.98
13,27,8,R15,-7397.85,-7397.84
14,28,6,P10,-15257.1,-15256.6
14,28,6,P11,-15256.2,-15255.7
14,28,7,Q12,-11208.6,-11208.5
14,28,7,Q13,-11208.2,-11208.1
14,28,8,R14,-8581.28,-8581.26
14,28,8,R15,-8581.08,-8581.06
14,29,6,P10,-15259.2,-15258.7
14,29,6,P11,-15258.3,-15257.8
14,29,7,Q12,-11210.1,-11210
14,29,7,Q13,-11209.7,-11209.6
14,29,8,R14,-8582.48,-8582.46
14,29,8,R15,-8582.28,-8582.26
14,30,6,P10,-15261.2,-15260.7
14,30,6,P11,-15260.3,-15259.8
14,30,7,Q12,-11211.6,-11211.5
14,30,7,Q13,-11211.2,-11211.1
14,30,8,R14,-8583.59,-8583.57
14,30,8,R15,-8583.39,-8583.37
15,31,6,P10,-17521.8,-17521.1
15,31,6,P11,-17520.7,-17520
15,31,7,Q12,-12872.2,-12872.1
15,31,7,Q13,-12871.7,-12871.5
15,31,8,R14,-9854.92,-9854.88
15,31,8,R15,-9854.65,-9854.62
16,32,6,P10,-19938.8,-19937.8
16,32,6,P11,-19937.3,-19936.3
16,32,7,Q12,-14647.6,-14647.4
16,32,7,Q13,-14647,-14646.7
16,32,8,R14,-11214.1,-11214.1
16,32,8,R15,-11213.8,-11213.7
16,34,6,P10,-19943,-19942
16,34,6,P11,-19941.5,-19940.5
16,34,7,Q12,-14650.7,-14650.5
16,34,7,Q13,-14650,-14649.8
16,34,8,R14,-11216.4,-11216.4
16,34,8,R15,-11216.1,-11216
16,36,6,P10,-19946.7,-19945.7
16,36,6,P11,-19945.1,-19944.2
16,36,7,Q12,-14653.4,-14653.2
16,36,7,Q13,-14652.7,-14652.5
16,36,8,R14,-11218.5,-11218.5
16,36,8,R15,-11218.2,-11218.1
17,35,6,P10,-22516.6,-22515.3
17,35,6,P11,-22514.7,-22513.3
17,35,7,Q12,-16541.1,-16540.8
17,35,7,Q13,-16540.3,-16539.9
17,35,8,R14,-12663.7,-12663.6
17,35,8,R15,-12663.2,-12663.2
17,37,6,P10,-22520.5,-22519.2
17,37,6,P11,-22518.6,-22517.3
17,37,7,Q12,-16544,-16543.7
17,37,7,Q13,-16543.2,-16542.8
17,37,8,R14,-12665.9,-12665.8
17,37,8,R15,-12665.4,-12665.4
18,32,6,P10,-25236.8,-25235
18,32,6,P11,-25234.4,-25232.6
18,32,7,Q12,-18539.2,-18538.7
18,32,7,Q13,-18538.1,-18537.7
18,32,8,R14,-14193.3,-14193.2
18,32,8,R15,-14192.7,-14192.6
18,33,6,P10,-25239.5,-25237.7
18,33,6,P11,-25237.1,-25235.3
18,33,7,Q12,-18541.2,-18540.7
18,33,7,Q13,-18540.1,-18539.6
18,33,8,R14,-14194.8,-14194.7
18,33,8,R15,-14194.2,-14194.1
18,34,6,P10,-25242,-25240.2
18,34,6,P11,-25239.6,-25237.8
18,34,7,Q12,-18543,-18542.6
18,34,7,Q13,-18541.9,-18541.5
18,34,8,R14,-14196.2,-14196.1
18,34,8,R15,-14195.6,-14195.5
18,35,6,P10,-25244.4,-25242.6
18,35,6,P11,-25242,-25240.2
18,35,7,Q12,-18544.8,-18544.3
18,35,7,Q13,-18543.7,-18543.2
18,35,8,R14,-14197.5,-14197.4
18,35,8,R15,-14197,-14196.9
18,36,6,P10,-25246.7,-25244.9
18,36,6,P11,-25244.2,-25242.5
18,36,7,Q12,-18546.4,-18546
18,36,7,Q13,-18545.3,-18544.9
18,36,8,R14,-14198.8,-14198.7
18,36,8,R15,-14198.2,-14198.1
18,37,6,P10,-25248.8,-25247
18,37,6,P11,-25246.4,-25244.6
18,37,7,Q12,-18548,-18547.6
18,37,7,Q13,-18546.9,-18546.5
18,37,8,R14,-14200,-14199.9
18,37,8,R15,-14199.5,-14199.3
18,38,6,P10,-25250.8,-25249.1
18,38,6,P11,-25248.4,-25246.6
18,38,7,Q12,-18549.5,-18549
18,38,7,Q13,-18548.4,-18548
18,38,8,R14,-14201.1,-14201
18,38,8,R15,-14200.6,-14200.5
18,39,6,P10,-25252.8,-25251
18,39,6,P11,-25250.4,-25248.6
18,39,7,Q12,-18550.9,-18550.5
18,39,7,Q13,-18549.8,-18549.4
18,39,8,R14,-14202.2,-14202.1
18,39,8,R15,-14201.7,-14201.6
18,40,6,P10,-25254.6,-25252.8
18,40,6,P11,-25252.2,-25250.4
18,40,7,Q12,-18552.3,-18551.8
18,40,7,Q13,-18551.2,-18550.7
18,40,8,R14,-14203.3,-14203.1
18,40,8,R15,-14202.7,-14202.6
18,41,6,P10,-25256.4,-25254.6
18,41,6,P11,-25253.9,-25252.1
18,41,7,Q12,-18553.5,-18553.1
18,41,7,Q13,-18552.5,-18552
18,41,8,R14,-14204.2,-14204.1
18,41,8,R15,-14203.7,-14203.6
18,42,6,P10,-25258,-25256.2
18,42,6,P11,-25255.6,-25253.8
18,42,7,Q12,-18554.8,-18554.3
18,42,7,Q13,-18553.7,-18553.2
18,42,8,R14,-14205.2,-14205.1
18,42,8,R15,-14204.6,-14204.5
18,43,6,P10,-25259.6,-25257.8
18,43,6,P11,-25257.2,-25255.4
18,43,7,Q12,-18555.9,-18555.5
18,43,7,Q13,-18554.8,-18554.4
18,43,8,R14,-14206.1,-14206
18,43,8,R15,-14205.5,-14205.4
18,44,6,P10,-25261.1,-25259.3
18,44,6,P11,-25258.7,-25256.9
18,44,7,Q12,-18557,-18556.6
18,44,7,Q13,-18555.9,-18555.5
18,44,8,R14,-14206.9,-14206.8
18,44,8,R15,-14206.4,-14206.3
18,46,6,P10,-25264,-25262.2
18,46,6,P11,-25261.5,-25259.7
18,46,7,Q12,-18559.1,-18558.7
18,46,7,Q13,-18558,-18557.6
18,46,8,R14,-14208.5,-14208.4
18,46,8,R15,-14208,-14207.9
19,38,6,P10,-28135.5,-28133.1
19,38,6,P11,-28132.5,-28130.1
19,38,7,Q12,-20668.3,-20667.7
19,38,7,Q13,-20666.9,-20666.3
19,38,8,R14,-15823.1,-15823
19,38,8,R15,-15822.4,-15822.3
19,39,6,P10,-28137.6,-28135.3
19,39,6,P11,-28134.6,-28132.3
19,39,7,Q12,-20669.8,-20669.2
19,39,7,Q13,-20668.5,-20667.9
19,39,8,R14,-15824.3,-15824.2
19,39,8,R15,-15823.6,-15823.5
19,40,6,P10,-28139.7,-28137.3
19,40,6,P11,-28136.6,-28134.3
19,40,7,Q12,-20671.3,-20670.7
19,40,7,Q13,-20670,-20669.4
19,40,8,R14,-15825.5,-15825.3
19,40,8,R15,-15824.8,-15824.6
19,41,6,P10,-28141.6,-28139.3
19,41,6,P11,-28138.6,-28136.3
19,41,7,Q12,-20672.8,-20672.2
19,41,7,Q13,-20671.4,-20670.8
19,41,8,R14,-15826.5,-15826.4
19,41,8,R15,-15825.9,-15825.7
19,42,6,P10,-28143.4,-28141.1
19,42,6,P11,-28140.4,-28138.1
19,42,7,Q12,-20674.1,-20673.5
19,42,7,Q13,-20672.8,-20672.2
19,42,8,R14,-15827.6,-15827.4
19,42,8,R15,-15826.9,-15826.8
19,43,6,P10,-28145.2,-28142.9
19,43,6,P11,-28142.2,-28139.9
19,43,7,Q12,-20675.4,-20674.8
19,43,7,Q13,-20674.1,-20673.5
19,43,8,R14,-15828.6,-15828.4
19,43,8,R15,-15827.9,-15827.8
19,44,6,P10,-28146.9,-28144.6
19,44,6,P11,-28143.9,-28141.6
19,44,7,Q12,-20676.7,-20676.1
19,44,7,Q13,-20675.3,-20674.7
19,44,8,R14,-15829.5,-15829.4
19,44,8,R15,-15828.9,-15828.7
19,45,6,P10,-28148.5,-28146.2
19,45,6,P11,-28145.5,-28143.2
19,45,7,Q12,-20677.8,-20677.2
19,45,7,Q13,-20676.5,-20675.9
19,45,8,R14,-15830.4,-15830.3
19,45,8,R15,-15829.8,-15829.6
19,46,6,P10,-28150.1,-28147.7
19,46,6,P11,-28147,-28144.7
19,46,7,Q12,-20679,-20678.4
19,46,7,Q13,-20677.6,-20677
19,46,8,R14,-15831.3,-15831.2
19,46,8,R15,-15830.6,-15830.5
19,47,6,P10,-28151.5,-28149.2
19,47,6,P11,-28148.5,-28146.2
19,47,7,Q12,-20680.1,-20679.5
19,47,7,Q13,-20678.7,-20678.1
19,47,8,R14,-15832.1,-15832
19,47,8,R15,-15831.5,-15831.3
20,39,6,P10,-31178.6,-31175.6
20,39,6,P11,-31174.9,-31172
20,39,7,Q12,-22903.4,-22902.6
20,39,7,Q13,-22901.7,-22900.9
20,39,8,R14,-17534.1,-17533.9
20,39,8,R15,-17533.3,-17533.1
20,40,6,P10,-31180.9,-31177.9
20,40,6,P11,-31177.2,-31174.2
20,40,7,Q12,-22905.1,-22904.3
20,40,7,Q13,-22903.4,-22902.6
20,40,8,R14,-17535.4,-17535.2
20,40,8,R15,-17534.6,-17534.4
20,41,6,P10,-31183,-31180
20,41,6,P11,-31179.3,-31176.4
20,41,7,Q12,-22906.6,-22905.8
20,41,7,Q13,-22905,-22904.2
20,41,8,R14,-17536.6,-17536.4
20,41,8,R15,-17535.8,-17535.6
20,42,6,P10,-31185.1,-31182.1
20,42,6,P11,-31181.4,-31178.4
20,42,7,Q12,-22908.1,-22907.3
20,42,7,Q13,-22906.5,-22905.7
20,42,8,R14,-17537.8,-17537.5
20,42,8,R15,-17536.9,-17536.7
20,43,6,P10,-31187,-31184.1
20,43,6,P11,-31183.3,-31180.4
20,43,7,Q12,-22909.6,-22908.8
20,43,7,Q13,-22907.9,-22907.1
20,43,8,R14,-17538.9,-17538.7
20,43,8,R15,-17538,-17537.8
20,44,6,P10,-31188.9,-31185.9
20,44,6,P11,-31185.2,-31182.2
20,44,7,Q12,-22910.9,-22910.1
20,44,7,Q13,-22909.3,-22908.5
20,44,8,R14,-17539.9,-17539.7
20,44,8,R15,-17539.1,-17538.9
20,45,6,P10,-31190.7,-31187.7
20,45,6,P11,-31187,-31184
20,45,7,Q12,-22912.3,-22911.5
20,45,7,Q13,-22910.6,-22909.8
20,45,8,R14,-17540.9,-17540.7
20,45,8,R15,-17540.1,-17539.9
20,46,6,P10,-31192.4,-31189.4
20,46,6,P11,-31188.7,-31185.7
20,46,7,Q12,-22913.5,-22912.7
20,46,7,Q13,-22911.9,-22911.1
20,46,8,R14,-17541.9,-17541.7
20,46,8,R15,-17541,-17540.8
20,47,6,P10,-31194,-31191
20,47,6,P11,-31190.3,-31187.3
20,47,7,Q12,-22914.7,-22913.9
20,47,7,Q13,-22913.1,-22912.3
20,47,8,R14,-17542.8,-17542.6
20,47,8,R15,-17542,-17541.7
20,48,6,P10,-31195.6,-31192.6
20,48,6,P11,-31191.9,-31188.9
20,48,7,Q12,-22915.9,-22915.1
20,48,7,Q13,-22914.2,-22913.4
20,48,8,R14,-17543.7,-17543.5
20,48,8,R15,-17542.8,-17542.6
20,50,6,P10,-31198.6,-31195.6
20,50,6,P11,-31194.9,-31191.9
20,50,7,Q12,-22918,-22917.2
20,50,7,Q13,-22916.4,-22915.6
20,50,8,R14,-17545.3,-17545.1
20,50,8,R15,-17544.5,-17544.3
21,42,6,P10,-34383,-34379.2
21,42,6,P11,-34378.5,-34374.7
21,42,7,Q12,-25256.9,-25255.8
21,42,7,Q13,-25254.8,-25253.8
21,42,8,R14,-19335.7,-19335.4
21,42,8,R15,-19334.7,-19334.4
21,43,6,P10,-34385.1,-34381.4
21,43,6,P11,-34380.6,-34376.9
21,43,7,Q12,-25258.4,-25257.4
21,43,7,Q13,-25256.4,-25255.4
21,43,8,R14,-19336.9,-19336.6
21,43,8,R15,-19335.9,-19335.6
21,44,6,P10,-34387.2,-34383.4
21,44,6,P11,-34382.7,-34378.9
21,44,7,Q12,-25259.9,-25258.9
21,44,7,Q13,-25257.9,-25256.9
21,44,8,R14,-19338.1,-19337.8
21,44,8,R15,-19337,-19336.8
21,45,6,P10,-34389.1,-34385.4
21,45,6,P11,-34384.6,-34380.9
21,45,7,Q12,-25261.4,-25260.4
21,45,7,Q13,-25259.4,-25258.3
21,45,8,R14,-19339.2,-19338.9
21,45,8,R15,-19338.2,-19337.9
21,46,6,P10,-34391,-34387.3
21,46,6,P11,-34386.5,-34382.8
21,46,7,Q12,-25262.8,-25261.7
21,46,7,Q13,-25260.8,-25259.7
21,46,8,R14,-19340.2,-19339.9
21,46,8,R15,-19339.2,-19338.9
22,44,6,P10,-37741.7,-37737.1
22,44,6,P11,-37736.3,-37731.7
22,44,7,Q12,-27723.7,-27722.3
22,44,7,Q13,-27721.2,-27719.9
22,44,8,R14,-21224,-21223.6
22,44,8,R15,-21222.8,-21222.4
22,45,6,P10,-37743.9,-37739.2
22,45,6,P11,-37738.5,-37733.8
22,45,7,Q12,-27725.2,-27723.9
22,45,7,Q13,-27722.8,-27721.5
22,45,8,R14,-21225.2,-21224.8
22,45,8,R15,-21224,-21223.6
22,46,6,P10,-37746,-37741.3
22,46,6,P11,-37740.5,-37735.9
22,46,7,Q12,-27726.8,-27725.4
22,46,7,Q13,-27724.3,-27723
22,46,8,R14,-21226.4,-21226
22,46,8,R15,-21225.1,-21224.8
22,47,6,P10,-37747.9,-37743.3
22,47,6,P11,-37742.5,-37737.9
22,47,7,Q12,-27728.2,-27726.9
22,47,7,Q13,-27725.8,-27724.5
22,47,8,R14,-21227.5,-21227.1
22,47,8,R15,-21226.3,-21225.9
22,48,6,P10,-37749.8,-37745.2
22,48,6,P11,-37744.4,-37739.7
22,48,7,Q12,-27729.6,-27728.3
22,48,7,Q13,-27727.2,-27725.8
22,48,8,R14,-21228.5,-21228.2
22,48,8,R15,-21227.3,-21226.9
22,49,6,P10,-37751.6,-37747
22,49,6,P11,-37746.2,-37741.6
22,49,7,Q12,-27730.9,-27729.6
22,49,7,Q13,-27728.5,-27727.2
22,49,8,R14,-21229.6,-21229.2
22,49,8,R15,-21228.3,-21228
22,50,6,P10,-37753.4,-37748.7
22,50,6,P11,-37748,-37743.3
22,50,7,Q12,-27732.2,-27730.9
