run,Z,A,kind,level,line,delta_e_eV,w12_per_s
He6_rminus,2,6,rminus,0,K1-L2,8298.998570,2039488510782.389893
He6_rminus,2,6,rminus,0,K1-L3,8299.145883,2039398578286.324219
He6_rminus,2,6,rminus,0,L2-M4,1534.551899,175097114597.733917
He6_rminus,2,6,rminus,0,L3-M4,1534.404586,35015647463.189819
He6_rminus,2,6,rminus,0,L3-M5,1534.419111,210096475916.933075
He6_rminus,2,6,rminus,0,M4-N6,536.925553,41810823162.999397
He6_rminus,2,6,rminus,0,M5-N6,536.911028,2986368568.358098
He6_rminus,2,6,rminus,0,M5-N7,536.914091,44796073294.281387
He6_rminus,2,6,rminus,0,N6-O8,248.510834,13327800927.919407
He6_rminus,2,6,rminus,0,N7-O8,248.507771,493611771.539277
He6_rminus,2,6,rminus,0,N7-O9,248.508712,13821258240.706417
He6_rminus,2,6,rminus,0,O8-P10,134.992564,5225119426.763606
He6_rminus,2,6,rminus,0,O9-P10,134.991624,118751114.789145
He6_rminus,2,6,rminus,0,O9-P11,134.991987,5343838251.729136
He6_rminus,2,6,rminus,0,P10-Q12,81.396022,2370232818.933562
He6_rminus,2,6,rminus,0,P11-Q12,81.395659,36464779.972072
He6_rminus,2,6,rminus,0,P11-Q13,81.395823,2406688939.341721
He6_rminus,2,6,rminus,0,Q12-R14,52.829067,1196852458.007054
He6_rminus,2,6,rminus,0,Q13-R14,52.828903,13298267.289215
He6_rminus,2,6,rminus,0,Q13-R15,52.828985,1210148003.825930
He6_grid0,2,6,grid,0,K1-L2,8298.957705,2039481307374.424561
He6_grid0,2,6,grid,0,K1-L3,8299.105018,2039391376362.215088
He6_grid0,2,6,grid,0,L2-M4,1534.551965,175097114881.918549
He6_grid0,2,6,grid,0,L3-M4,1534.404652,35015647519.128403
He6_grid0,2,6,grid,0,L3-M5,1534.419177,210096476252.401459
He6_grid0,2,6,grid,0,M4-N6,536.925555,41810823149.500206
He6_grid0,2,6,grid,0,M5-N6,536.911030,2986368567.396738
He6_grid0,2,6,grid,0,M5-N7,536.914093,44796073279.820023
He6_grid0,2,6,grid,0,N6-O8,248.510834,13327800927.828146
He6_grid0,2,6,grid,0,N7-O8,248.507772,493611771.536202
He6_grid0,2,6,grid,0,N7-O9,248.508712,13821258240.609367
He6_grid0,2,6,grid,0,O8-P10,134.992564,5225119426.763556
He6_grid0,2,6,grid,0,O9-P10,134.991624,118751114.789153
He6_grid0,2,6,grid,0,O9-P11,134.991987,5343838251.728931
He6_grid0,2,6,grid,0,P10-Q12,81.396022,2370232818.933550
He6_grid0,2,6,grid,0,P11-Q12,81.395659,36464779.972072
He6_grid0,2,6,grid,0,P11-Q13,81.395823,2406688939.341717
He6_grid0,2,6,grid,0,Q12-R14,52.829067,1196852458.007052
He6_grid0,2,6,grid,0,Q13-R14,52.828903,13298267.289215
He6_grid0,2,6,grid,0,Q13-R15,52.828985,1210148003.825930
He6_grid1,2,6,grid,1,K1-L2,8298.964815,2039483426903.125000
He6_grid1,2,6,grid,1,K1-L3,8299.112128,2039393501191.241943
He6_grid1,2,6,grid,1,L2-M4,1534.552257,175097157939.491486
He6_grid1,2,6,grid,1,L3-M4,1534.404944,35015653562.468002
He6_grid1,2,6,grid,1,L3-M5,1534.419468,210096527800.862183
He6_grid1,2,6,grid,1,M4-N6,536.925569,41810823242.820305
He6_grid1,2,6,grid,1,M5-N6,536.911044,2986368916.788589
He6_grid1,2,6,grid,1,M5-N7,536.914107,44796070850.790321
He6_grid1,2,6,grid,1,N6-O8,248.510836,13327800782.735426
He6_grid1,2,6,grid,1,N7-O8,248.507773,493611812.197738
He6_grid1,2,6,grid,1,N7-O9,248.508714,13821257599.249985
He6_grid1,2,6,grid,1,O8-P10,134.992566,5225119435.255946
He6_grid1,2,6,grid,1,O9-P10,134.991625,118751114.871363
He6_grid1,2,6,grid,1,O9-P11,134.991988,5343838248.469336
He6_grid1,2,6,grid,1,P10-Q12,81.396022,2370232828.802732
He6_grid1,2,6,grid,1,P11-Q12,81.395659,36464780.212906
He6_grid1,2,6,grid,1,P11-Q13,81.395823,2406688938.781807
He6_grid1,2,6,grid,1,Q12-R14,52.829067,1196852467.339944
He6_grid1,2,6,grid,1,Q13-R14,52.828903,13298267.899908
He6_grid1,2,6,grid,1,Q13-R15,52.828985,1210147998.189861
He6_grid2,2,6,grid,2,K1-L2,8298.967106,2039484213723.448730
He6_grid2,2,6,grid,2,K1-L3,8299.114420,2039394085079.006836
He6_grid2,2,6,grid,2,L2-M4,1534.552364,175097172915.165314
He6_grid2,2,6,grid,2,L3-M4,1534.405050,35015656544.821144
He6_grid2,2,6,grid,2,L3-M5,1534.419575,210096545826.124939
He6_grid2,2,6,grid,2,M4-N6,536.925575,41810823222.954269
He6_grid2,2,6,grid,2,M5-N6,536.911050,2986368914.355835
He6_grid2,2,6,grid,2,M5-N7,536.914113,44796070837.927933
He6_grid2,2,6,grid,2,N6-O8,248.510836,13327800750.861284
He6_grid2,2,6,grid,2,N7-O8,248.507773,493611810.871324
He6_grid2,2,6,grid,2,N7-O9,248.508714,13821257555.763166
He6_grid2,2,6,grid,2,O8-P10,134.992566,5225119472.583286
He6_grid2,2,6,grid,2,O9-P10,134.991625,118751119.950296
He6_grid2,2,6,grid,2,O9-P11,134.991988,5343838200.799520
He6_grid2,2,6,grid,2,P10-Q12,81.396022,2370232838.725088
He6_grid2,2,6,grid,2,P11-Q12,81.395659,36464780.344437
He6_grid2,2,6,grid,2,P11-Q13,81.395823,2406688938.501691
He6_grid2,2,6,grid,2,Q12-R14,52.829067,1196852474.951390
He6_grid2,2,6,grid,2,Q13-R14,52.828903,13298268.222623
He6_grid2,2,6,grid,2,Q13-R15,52.828985,1210147995.458927
Li6_rminus,3,6,rminus,0,K1-L2,18671.270924,10330157888171.667969
Li6_rminus,3,6,rminus,0,K1-L3,18672.017500,10329256115908.521484
Li6_rminus,3,6,rminus,0,L2-M4,3454.202610,886841857672.693237
Li6_rminus,3,6,rminus,0,L3-M4,3453.456034,177324708360.801544
Li6_rminus,3,6,rminus,0,L3-M5,3453.529593,1063984243465.751221
Li6_rminus,3,6,rminus,0,M4-N6,1208.180515,211684459074.040314
Li6_rminus,3,6,rminus,0,M5-N6,1208.106955,15118931396.680691
Li6_rminus,3,6,rminus,0,M5-N7,1208.122463,226790966559.450928
Li6_rminus,3,6,rminus,0,N6-O8,559.156271,67472597511.924316
Li6_rminus,3,6,rminus,0,N7-O8,559.140764,2498860932.000221
Li6_rminus,3,6,rminus,0,N7-O9,559.145525,69969736900.672821
Li6_rminus,3,6,rminus,0,O8-P10,303.732910,26452070245.072144
Li6_rminus,3,6,rminus,0,O9-P10,303.728148,601164513.415202
Li6_rminus,3,6,rminus,0,O9-P11,303.729985,27052882713.779816
Li6_rminus,3,6,rminus,0,P10-Q12,183.140083,11999219697.841623
Li6_rminus,3,6,rminus,0,P11-Q12,183.138247,184599339.031995
Li6_rminus,3,6,rminus,0,P11-Q13,183.139074,12183723598.664125
Li6_rminus,3,6,rminus,0,Q12-R14,118.864538,6059013701.145927
Li6_rminus,3,6,rminus,0,Q13-R14,118.863711,67321281.938209
Li6_rminus,3,6,rminus,0,Q13-R15,118.864127,6126304734.845560
Li6_grid0,3,6,grid,0,K1-L2,18670.449929,10329826817014.390625
Li6_grid0,3,6,grid,0,K1-L3,18671.196496,10328925222507.062500
Li6_grid0,3,6,grid,0,L2-M4,3454.203182,886842014311.708618
Li6_grid0,3,6,grid,0,L3-M4,3453.456615,177324750997.193481
Li6_grid0,3,6,grid,0,L3-M5,3453.530175,1063984499271.688965
Li6_grid0,3,6,grid,0,M4-N6,1208.180551,211684458973.187500
Li6_grid0,3,6,grid,0,M5-N6,1208.106992,15118931389.506525
Li6_grid0,3,6,grid,0,M5-N7,1208.122500,226790987312.503815
Li6_grid0,3,6,grid,0,N6-O8,559.156271,67472596718.197762
Li6_grid0,3,6,grid,0,N7-O8,559.140763,2498860902.540707
Li6_grid0,3,6,grid,0,N7-O9,559.145526,69969736887.204773
Li6_grid0,3,6,grid,0,O8-P10,303.732912,26452070234.331356
Li6_grid0,3,6,grid,0,O9-P10,303.728148,601164513.409992
Li6_grid0,3,6,grid,0,O9-P11,303.729985,27052882713.698277
Li6_grid0,3,6,grid,0,P10-Q12,183.140083,11999219697.841923
Li6_grid0,3,6,grid,0,P11-Q12,183.138247,184599339.032002
Li6_grid0,3,6,grid,0,P11-Q13,183.139074,12183723598.664280
Li6_grid0,3,6,grid,0,Q12-R14,118.864538,6059013701.145967
Li6_grid0,3,6,grid,0,Q13-R14,118.863711,67321281.938210
Li6_grid0,3,6,grid,0,Q13-R15,118.864127,6126304734.845585
Li6_grid1,3,6,grid,1,K1-L2,18670.472843,10329842561424.433594
Li6_grid1,3,6,grid,1,K1-L3,18671.219412,10328940003637.792969
Li6_grid1,3,6,grid,1,L2-M4,3454.204320,886842395223.797607
Li6_grid1,3,6,grid,1,L3-M4,3453.457752,177324838443.688354
Li6_grid1,3,6,grid,1,L3-M5,3453.531311,1063984887245.908936
Li6_grid1,3,6,grid,1,M4-N6,1208.180649,211684484748.638947
Li6_grid1,3,6,grid,1,M5-N6,1208.107089,15118934967.398664
Li6_grid1,3,6,grid,1,M5-N7,1208.122597,226791001996.645508
Li6_grid1,3,6,grid,1,N6-O8,559.156279,67472597021.299805
Li6_grid1,3,6,grid,1,N7-O8,559.140771,2498861397.315309
Li6_grid1,3,6,grid,1,N7-O9,559.145534,69969734825.768448
Li6_grid1,3,6,grid,1,O8-P10,303.732911,26452069261.825516
Li6_grid1,3,6,grid,1,O9-P10,303.728147,601164491.629405
Li6_grid1,3,6,grid,1,O9-P11,303.729985,27052882188.356071
Li6_grid1,3,6,grid,1,P10-Q12,183.140086,11999219713.755457
Li6_grid1,3,6,grid,1,P11-Q12,183.138248,184599339.589061
Li6_grid1,3,6,grid,1,P11-Q13,183.139075,12183723583.912102
Li6_grid1,3,6,grid,1,Q12-R14,118.864538,6059013748.340092
Li6_grid1,3,6,grid,1,Q13-R14,118.863711,67321285.012706
Li6_grid1,3,6,grid,1,Q13-R15,118.864127,6126304706.520594
Li6_grid2,3,6,grid,2,K1-L2,18670.479896,10329847717909.869141
Li6_grid2,3,6,grid,2,K1-L3,18671.226465,10328944994581.466797
Li6_grid2,3,6,grid,2,L2-M4,3454.204721,886842543981.192261
Li6_grid2,3,6,grid,2,L3-M4,3453.458152,177324856720.786652
Li6_grid2,3,6,grid,2,L3-M5,3453.531711,1063985065995.278564
Li6_grid2,3,6,grid,2,M4-N6,1208.180684,211684485815.499084
Li6_grid2,3,6,grid,2,M5-N6,1208.107124,15118935038.716263
Li6_grid2,3,6,grid,2,M5-N7,1208.122632,226791003290.146973
Li6_grid2,3,6,grid,2,N6-O8,559.156281,67472597030.495651
Li6_grid2,3,6,grid,2,N7-O8,559.140774,2498861396.978218
Li6_grid2,3,6,grid,2,N7-O9,559.145537,69969734790.947174
Li6_grid2,3,6,grid,2,O8-P10,303.732911,26452069312.117107
Li6_grid2,3,6,grid,2,O9-P10,303.728148,601164514.246102
Li6_grid2,3,6,grid,2,O9-P11,303.729985,27052881954.683346
Li6_grid2,3,6,grid,2,P10-Q12,183.140086,11999219733.182369
Li6_grid2,3,6,grid,2,P11-Q12,183.138248,184599339.857760
Li6_grid2,3,6,grid,2,P11-Q13,183.139075,12183723542.173466
Li6_grid2,3,6,grid,2,Q12-R14,118.864538,6059013785.521979
Li6_grid2,3,6,grid,2,Q13-R14,118.863711,67321286.607182
Li6_grid2,3,6,grid,2,Q13-R15,118.864127,6126304690.855968
Li6_grid3,3,6,grid,3,M4-N6,1208.180697,211684487316.522705
Li7_rminus,3,7,rminus,0,K1-L2,18723.715171,10358774403888.134766
Li7_rminus,3,7,rminus,0,K1-L3,18724.463764,10357869478993.595703
Li7_rminus,3,7,rminus,0,L2-M4,3463.353566,889191791841.621094
