run,Z,A,kind,level,status,rc,err_bytes,wall_s,input_sha256
He6_rminus,2,6,rminus,0,RAN,0,0,0.656,4708d301bb34a6a0dde8d88888c8f62b7f303ad616a7b1e811441ff5b54637d5
He6_grid0,2,6,grid,0,RAN,0,0,0.573,ae8a800efbe3b27c702d3aed0d8637506308a3773efb70753f4e1ee1021cb14b
He6_grid1,2,6,grid,1,RAN,0,0,2.531,86ca89d1f8175e6ef619b4dc6f1592f1fda03177a15768b01217be1f39c36ed2
He6_grid2,2,6,grid,2,RAN,0,0,12.316,8b2b9937c55556b30ca5a4c119e0cc6f26e92c4783c636749db3f3e70516d825
Li6_rminus,3,6,rminus,0,RAN,0,0,0.713,b55ed969993e426633d9acb28f36550072cb24e952d4a6528adab9bd4d776a99
Li6_grid0,3,6,grid,0,RAN,0,0,0.843,aec0eba73929988d20ec88547a6d70ff43403aa0705418cdfb9621a84a71074e
Li6_grid1,3,6,grid,1,RAN,0,0,2.901,7c85a831ebd1f9cae801bae4da463a172b6efea3adc7036454ceddca92839b3c
Li6_grid2,3,6,grid,2,RAN,0,0,14.204,9280d14b1dda362af46a9f79ee2a61b8d5275e3d18f642f98ddb181310434857
Li6_grid3,3,6,grid,3,RAN,0,968,149.092,01fc503f70c61a1ff401e82abdcdc8b50e21a500d0f1c72cd98ee64c04607e5e
Li6_grid4,3,6,grid,4,RAN,0,1144,695.352,e16465c05261e4d687e6e472db552c077f25e17e93025bef9a0c0c6f28765133
Li7_rminus,3,7,rminus,0,RAN,0,0,0.731,6485e161fc98866b1fea6fdfef7f41c270c21832aa2adff31c23eeac3f0405c4
Li7_grid0,3,7,grid,0,RAN,0,0,0.851,0d6741b2050dd6c89361aee1faa26f44d136efeac231e602d2da6e85dd851070
Li7_grid1,3,7,grid,1,RAN,0,0,3.156,2c59e3d332bb4f149a1714c31a81fff612f8c875671cfdfd803eb3844f4c7273
Li7_grid2,3,7,grid,2,RAN,0,0,12.760,c6a8e537ac1d6c1bbb62531a360609571278e20077d9da8b3467a3301e74b5c9
Li8_rminus,3,8,rminus,0,RAN,0,0,0.674,2594eee292af5bc3c005b3e6847a6baade215c18551043f24de51c54c6d9eae6
Li8_grid0,3,8,grid,0,RAN,0,0,0.795,12a47c255f27524091e88be2e4d25426c9b8d0774849d8a3642976be03f4e464
Li8_grid1,3,8,grid,1,RAN,0,0,3.041,17d9513913faa83605537f530ab558edd6555580433d821bb3fb62fa4ab10bfa
Li8_grid2,3,8,grid,2,RAN,0,0,13.909,5b36e959cd4b857a35321c503cd1a89630d116d5596df2c92294e44f57210782
Li9_rminus,3,9,rminus,0,RAN,0,0,0.729,1c1355be064ae193eb7ff837756d0bf0ea6a487e06757daead1e8f5a5f77d77b
Li9_grid0,3,9,grid,0,RAN,0,0,0.765,b5f0014735a08c08b2fb2f0c9f1a3778cc7fa9f7d343f23e52505d7cdef0454c
Li9_grid1,3,9,grid,1,RAN,0,0,3.258,8bd6927f9bad3064ba286abfd73afddd5fd6d450a6c9984545969b631e175ce5
Li9_grid2,3,9,grid,2,RAN,0,0,13.123,543bb1592e55c4054a8fefe886ea31aaefa61847474632cf92afa26609d03226
Li11_rminus,3,11,rminus,0,RAN,0,0,0.707,fc00c2d7e45a15c34461994f21d29c96cb0823c970f84eb1b192d32ffcb4836a
Li11_grid0,3,11,grid,0,RAN,0,0,0.830,203c4ba289649f079893d1d001bb57bcfdd7a98fe1bc488984e36288d5f88f59
