run,Z,A,kind,level,state,n,l,s,binding_eV,total_eV
He6_rminus,2,6,rminus,0,K1,1,0,1,-11060.8,1.03693e+08
He6_rminus,2,6,rminus,0,L2,2,1,0,-2761.78,1.03701e+08
He6_rminus,2,6,rminus,0,L3,2,1,1,-2761.63,1.03701e+08
He6_rminus,2,6,rminus,0,M4,3,2,0,-1227.23,1.03703e+08
He6_rminus,2,6,rminus,0,M5,3,2,1,-1227.21,1.03703e+08
He6_rminus,2,6,rminus,0,N6,4,3,0,-690.303,1.03703e+08
He6_rminus,2,6,rminus,0,N7,4,3,1,-690.3,1.03703e+08
He6_rminus,2,6,rminus,0,O8,5,4,0,-441.792,1.03704e+08
He6_rminus,2,6,rminus,0,O9,5,4,1,-441.791,1.03704e+08
He6_rminus,2,6,rminus,0,P10,6,5,0,-306.8,1.03704e+08
He6_rminus,2,6,rminus,0,P11,6,5,1,-306.799,1.03704e+08
He6_rminus,2,6,rminus,0,Q12,7,6,0,-225.404,1.03704e+08
He6_rminus,2,6,rminus,0,Q13,7,6,1,-225.403,1.03704e+08
He6_rminus,2,6,rminus,0,R14,8,7,0,-172.575,1.03704e+08
He6_rminus,2,6,rminus,0,R15,8,7,1,-172.574,1.03704e+08
He6_grid0,2,6,grid,0,K1,1,0,1,-11060.7,1.03693e+08
He6_grid0,2,6,grid,0,L2,2,1,0,-2761.78,1.03701e+08
He6_grid0,2,6,grid,0,L3,2,1,1,-2761.63,1.03701e+08
He6_grid0,2,6,grid,0,M4,3,2,0,-1227.23,1.03703e+08
He6_grid0,2,6,grid,0,M5,3,2,1,-1227.21,1.03703e+08
He6_grid0,2,6,grid,0,N6,4,3,0,-690.303,1.03703e+08
He6_grid0,2,6,grid,0,N7,4,3,1,-690.3,1.03703e+08
He6_grid0,2,6,grid,0,O8,5,4,0,-441.792,1.03704e+08
He6_grid0,2,6,grid,0,O9,5,4,1,-441.791,1.03704e+08
He6_grid0,2,6,grid,0,P10,6,5,0,-306.8,1.03704e+08
