run,Z,A,kind,rc,err_bytes
H1_base,1,1,base,0,0
H1_rsig,1,1,rsig,0,0
H1_ideal6,1,1,ideal6,0,0
H1_ideal7,1,1,ideal7,0,0
H1_ideal8,1,1,ideal8,0,0
H2_base,1,2,base,0,0
H2_rsig,1,2,rsig,0,0
H2_ideal6,1,2,ideal6,0,0
H2_ideal7,1,2,ideal7,0,0
H2_ideal8,1,2,ideal8,0,0
H3_base,1,3,base,0,0
H3_rsig,1,3,rsig,0,0
H3_ideal6,1,3,ideal6,0,0
H3_ideal7,1,3,ideal7,0,0
H3_ideal8,1,3,ideal8,0,0
He3_base,2,3,base,0,0
He3_rsig,2,3,rsig,0,0
He3_ideal6,2,3,ideal6,0,0
He3_ideal7,2,3,ideal7,0,0
He3_ideal8,2,3,ideal8,0,0
He4_base,2,4,base,0,0
He4_rsig,2,4,rsig,0,0
He4_ideal6,2,4,ideal6,0,0
He4_ideal7,2,4,ideal7,0,0
He4_ideal8,2,4,ideal8,0,0
He6_base,2,6,base,0,0
He6_rsig,2,6,rsig,0,0
He6_ideal6,2,6,ideal6,0,0
He6_ideal7,2,6,ideal7,0,0
He6_ideal8,2,6,ideal8,0,0
He8_base,2,8,base,0,1495
He8_rsig,2,8,rsig,0,0
He8_ideal6,2,8,ideal6,0,1035
He8_ideal7,2,8,ideal7,0,1265
He8_ideal8,2,8,ideal8,0,1495
Li6_base,3,6,base,0,0
Li6_rsig,3,6,rsig,0,0
Li6_ideal6,3,6,ideal6,0,0
Li6_ideal7,3,6,ideal7,0,0
Li6_ideal8,3,6,ideal8,0,0
Li7_base,3,7,base,0,0
Li7_rsig,3,7,rsig,0,0
Li7_ideal6,3,7,ideal6,0,0
Li7_ideal7,3,7,ideal7,0,0
Li7_ideal8,3,7,ideal8,0,0
Li8_base,3,8,base,0,0
Li8_rsig,3,8,rsig,0,0
Li8_ideal6,3,8,ideal6,0,0
Li8_ideal7,3,8,ideal7,0,0
Li8_ideal8,3,8,ideal8,0,0
Li9_base,3,9,base,0,0
Li9_rsig,3,9,rsig,0,0
Li9_ideal6,3,9,ideal6,0,0
Li9_ideal7,3,9,ideal7,0,0
Li9_ideal8,3,9,ideal8,0,0
Li11_base,3,11,base,0,0
Li11_rsig,3,11,rsig,0,0
Li11_ideal6,3,11,ideal6,0,0
Li11_ideal7,3,11,ideal7,0,0
Li11_ideal8,3,11,ideal8,0,0
Be7_base,4,7,base,0,0
Be7_rsig,4,7,rsig,0,0
Be7_ideal6,4,7,ideal6,0,0
Be7_ideal7,4,7,ideal7,0,0
