run,Z,A,setting,line,delta_e_eV,w12_per_s
Be9_g0u0050,4,9,g0u0050,K1-L2,33390.663716,32862400063909.480469
Be9_g0u0050,4,9,g0u0050,K1-L3,33393.040355,32857552080625.273438
Be9_g0u0050,4,9,g0u0050,L2-M4,6182.075447,2821936892036.710938
Be9_g0u0050,4,9,g0u0050,L3-M4,6179.698808,564139197322.979736
Be9_g0u0050,4,9,g0u0050,L3-M5,6179.932846,3385050815737.667969
Be9_g0u0050,4,9,g0u0050,M4-N6,2161.489857,673275912854.820923
Be9_g0u0050,4,9,g0u0050,M5-N6,2161.255819,48083222439.829971
Be9_g0u0050,4,9,g0u0050,M5-N7,2161.305143,721289531444.728882
Be9_g0u0050,4,9,g0u0050,N6-O8,1000.253035,214575677199.032471
Be9_g0u0050,4,9,g0u0050,N7-O8,1000.203711,7946537850.805557
Be9_g0u0050,4,9,g0u0050,N7-O9,1000.218860,222512596134.137421
Be9_g0u0050,4,9,g0u0050,O8-P10,543.322415,84120447578.148239
Be9_g0u0050,4,9,g0u0050,O9-P10,543.307266,1911719813.394315
Be9_g0u0050,4,9,g0u0050,O9-P11,543.313110,86030178950.886444
Be9_g0u0050,4,9,g0u0050,P10-Q12,327.601705,38158577767.820099
Be9_g0u0050,4,9,g0u0050,P11-Q12,327.595861,587031877.112861
Be9_g0u0050,4,9,g0u0050,P11-Q13,327.598490,38745079194.750275
Be9_g0u0050,4,9,g0u0050,Q12-R14,212.624729,19268153559.905533
Be9_g0u0050,4,9,g0u0050,Q13-R14,212.622101,214084320.539296
Be9_g0u0050,4,9,g0u0050,Q13-R15,212.623422,19482064715.911427
Be9_g0u0100,4,9,g0u0100,K1-L2,33390.858758,32862613136765.796875
Be9_g0u0100,4,9,g0u0100,K1-L3,33393.235409,32857765015556.511719
Be9_g0u0100,4,9,g0u0100,L2-M4,6182.083406,2821942063716.534668
Be9_g0u0100,4,9,g0u0100,L3-M4,6179.706756,564140312797.956055
Be9_g0u0100,4,9,g0u0100,L3-M5,6179.940794,3385057265062.491211
Be9_g0u0100,4,9,g0u0100,M4-N6,2161.490845,673276290732.754883
Be9_g0u0100,4,9,g0u0100,M5-N6,2161.256806,48083254374.738922
Be9_g0u0100,4,9,g0u0100,M5-N7,2161.306130,721289936276.196777
Be9_g0u0100,4,9,g0u0100,N6-O8,1000.253142,214575706315.016144
Be9_g0u0100,4,9,g0u0100,N7-O8,1000.203818,7946538929.161797
Be9_g0u0100,4,9,g0u0100,N7-O9,1000.218967,222512626326.258179
Be9_g0u0100,4,9,g0u0100,O8-P10,543.322424,84120447824.284454
Be9_g0u0100,4,9,g0u0100,O9-P10,543.307275,1911719818.999930
Be9_g0u0100,4,9,g0u0100,O9-P11,543.313119,86030188000.637131
Be9_g0u0100,4,9,g0u0100,P10-Q12,327.601706,38158577786.143990
Be9_g0u0100,4,9,g0u0100,P11-Q12,327.595862,587031877.404206
Be9_g0u0100,4,9,g0u0100,P11-Q13,327.598490,38745079219.785652
Be9_g0u0100,4,9,g0u0100,Q12-R14,212.624729,19268153561.466553
Be9_g0u0100,4,9,g0u0100,Q13-R14,212.622101,214084320.573100
Be9_g0u0100,4,9,g0u0100,Q13-R15,212.623422,19482064717.644581
Be9_g0u0150,4,9,g0u0150,K1-L2,33390.898583,32862658755015.281250
Be9_g0u0150,4,9,g0u0150,K1-L3,33393.275236,32857814103145.660156
Be9_g0u0150,4,9,g0u0150,L2-M4,6182.085358,2821943501020.217773
Be9_g0u0150,4,9,g0u0150,L3-M4,6179.708705,564140519088.594360
Be9_g0u0150,4,9,g0u0150,L3-M5,6179.942744,3385058746289.375977
Be9_g0u0150,4,9,g0u0150,M4-N6,2161.491087,673276384775.909668
Be9_g0u0150,4,9,g0u0150,M5-N6,2161.257048,48083261091.786537
Be9_g0u0150,4,9,g0u0150,M5-N7,2161.306373,721290037044.424438
Be9_g0u0150,4,9,g0u0150,N6-O8,1000.253168,214575707615.516235
Be9_g0u0150,4,9,g0u0150,N7-O8,1000.203844,7946539860.261098
Be9_g0u0150,4,9,g0u0150,N7-O9,1000.218993,222512627674.504578
Be9_g0u0150,4,9,g0u0150,O8-P10,543.322427,84120447885.899734
Be9_g0u0150,4,9,g0u0150,O9-P10,543.307278,1911719820.402603
Be9_g0u0150,4,9,g0u0150,O9-P11,543.313122,86030188072.761749
Be9_g0u0150,4,9,g0u0150,P10-Q12,327.601706,38158581029.964447
Be9_g0u0150,4,9,g0u0150,P11-Q12,327.595862,587031877.538711
Be9_g0u0150,4,9,g0u0150,P11-Q13,327.598491,38745079221.296005
Be9_g0u0150,4,9,g0u0150,Q12-R14,212.624729,19268153562.017826
Be9_g0u0150,4,9,g0u0150,Q13-R14,212.622101,214084320.574786
Be9_g0u0150,4,9,g0u0150,Q13-R15,212.623422,19482064717.878677
Be9_g0u0200,4,9,g0u0200,K1-L2,33390.913635,32862676110137.203125
Be9_g0u0200,4,9,g0u0200,K1-L3,33393.290289,32857827951744.394531
Be9_g0u0200,4,9,g0u0200,L2-M4,6182.086170,2821944082865.371094
Be9_g0u0200,4,9,g0u0200,L3-M4,6179.709516,564140635453.871948
Be9_g0u0200,4,9,g0u0200,L3-M5,6179.943555,3385059444450.294434
Be9_g0u0200,4,9,g0u0200,M4-N6,2161.491188,673276464354.767822
Be9_g0u0200,4,9,g0u0200,M5-N6,2161.257149,48083261830.924370
Be9_g0u0200,4,9,g0u0200,M5-N7,2161.306473,721290122299.530151
Be9_g0u0200,4,9,g0u0200,N6-O8,1000.253179,214575708150.005249
Be9_g0u0200,4,9,g0u0200,N7-O8,1000.203855,7946539880.054209
Be9_g0u0200,4,9,g0u0200,N7-O9,1000.219004,222512652950.326294
Be9_g0u0200,4,9,g0u0200,O8-P10,543.322428,84120447919.065094
Be9_g0u0200,4,9,g0u0200,O9-P10,543.307279,1911719821.151581
Be9_g0u0200,4,9,g0u0200,O9-P11,543.313123,86030188097.563477
Be9_g0u0200,4,9,g0u0200,P10-Q12,327.601706,38158581033.458122
Be9_g0u0200,4,9,g0u0200,P11-Q12,327.595862,587031877.588069
Be9_g0u0200,4,9,g0u0200,P11-Q13,327.598491,38745079224.540062
Be9_g0u0200,4,9,g0u0200,Q12-R14,212.624729,19268153562.248363
Be9_g0u0200,4,9,g0u0200,Q13-R14,212.622101,214084320.579209
Be9_g0u0200,4,9,g0u0200,Q13-R15,212.623422,19482064718.085411
Be9_g0u0250,4,9,g0u0250,K1-L2,33390.921058,32862684998454.246094
Be9_g0u0250,4,9,g0u0250,K1-L3,33393.297713,32857840331779.687500
Be9_g0u0250,4,9,g0u0250,L2-M4,6182.086597,2821944378298.863770
Be9_g0u0250,4,9,g0u0250,L3-M4,6179.709942,564140694538.331665
Be9_g0u0250,4,9,g0u0250,L3-M5,6179.943981,3385059798961.520996
Be9_g0u0250,4,9,g0u0250,M4-N6,2161.491241,673276469808.780396
Be9_g0u0250,4,9,g0u0250,M5-N6,2161.257202,48083267165.380409
Be9_g0u0250,4,9,g0u0250,M5-N7,2161.306527,721290128140.537354
Be9_g0u0250,4,9,g0u0250,N6-O8,1000.253185,214575708433.605591
Be9_g0u0250,4,9,g0u0250,N7-O8,1000.203861,7946539890.565409
Be9_g0u0250,4,9,g0u0250,N7-O9,1000.219010,222512653257.848938
Be9_g0u0250,4,9,g0u0250,O8-P10,543.322428,84120447933.252151
Be9_g0u0250,4,9,g0u0250,O9-P10,543.307279,1911719821.487827
Be9_g0u0250,4,9,g0u0250,O9-P11,543.313123,86030188112.152496
Be9_g0u0250,4,9,g0u0250,P10-Q12,327.601706,38158581035.188148
Be9_g0u0250,4,9,g0u0250,P11-Q12,327.595862,587031877.615917
Be9_g0u0250,4,9,g0u0250,P11-Q13,327.598491,38745079226.281708
Be9_g0u0250,4,9,g0u0250,Q12-R14,212.624729,19268153562.369621
Be9_g0u0250,4,9,g0u0250,Q13-R14,212.622101,214084320.581540
Be9_g0u0250,4,9,g0u0250,Q13-R15,212.623422,19482064718.194458
Be9_g0u0300,4,9,g0u0300,K1-L2,33390.925315,32862689684873.316406
Be9_g0u0300,4,9,g0u0300,K1-L3,33393.301970,32857845015857.050781
Be9_g0u0300,4,9,g0u0300,L2-M4,6182.086853,2821944636813.627441
Be9_g0u0300,4,9,g0u0300,L3-M4,6179.710198,564140746240.769409
Be9_g0u0300,4,9,g0u0300,L3-M5,6179.944237,3385059865705.791504
Be9_g0u0300,4,9,g0u0300,M4-N6,2161.491273,673276473062.410522
Be9_g0u0300,4,9,g0u0300,M5-N6,2161.257234,48083267397.745659
Be9_g0u0300,4,9,g0u0300,M5-N7,2161.306558,721290131647.382202
Be9_g0u0300,4,9,g0u0300,N6-O8,1000.253188,214575708610.028198
Be9_g0u0300,4,9,g0u0300,N7-O8,1000.203864,7946539897.099854
Be9_g0u0300,4,9,g0u0300,N7-O9,1000.219013,222512653427.079468
Be9_g0u0300,4,9,g0u0300,O8-P10,543.322429,84120447940.103821
Be9_g0u0300,4,9,g0u0300,O9-P10,543.307280,1911719821.633080
Be9_g0u0300,4,9,g0u0300,O9-P11,543.313124,86030188119.038879
Be9_g0u0300,4,9,g0u0300,P10-Q12,327.601706,38158581036.170853
Be9_g0u0300,4,9,g0u0300,P11-Q12,327.595862,587031877.630365
Be9_g0u0300,4,9,g0u0300,P11-Q13,327.598491,38745079227.287590
Be9_g0u0300,4,9,g0u0300,Q12-R14,212.624729,19268153562.442539
Be9_g0u0300,4,9,g0u0300,Q13-R14,212.622101,214084320.582941
Be9_g0u0300,4,9,g0u0300,Q13-R15,212.623422,19482064718.260017
Be9_g0u0350,4,9,g0u0350,K1-L2,33390.928006,32862693987961.199219
Be9_g0u0350,4,9,g0u0350,K1-L3,33393.304662,32857849316259.769531
Be9_g0u0350,4,9,g0u0350,L2-M4,6182.087021,2821944673237.616211
Be9_g0u0350,4,9,g0u0350,L3-M4,6179.710366,564140753523.718018
Be9_g0u0350,4,9,g0u0350,L3-M5,6179.944405,3385060152878.377441
Be9_g0u0350,4,9,g0u0350,M4-N6,2161.491294,673276475203.388916
Be9_g0u0350,4,9,g0u0350,M5-N6,2161.257255,48083267550.618202
Be9_g0u0350,4,9,g0u0350,M5-N7,2161.306579,721290133940.193237
Be9_g0u0350,4,9,g0u0350,N6-O8,1000.253191,214575708726.338348
Be9_g0u0350,4,9,g0u0350,N7-O8,1000.203867,7946539901.404592
Be9_g0u0350,4,9,g0u0350,N7-O9,1000.219016,222512653547.683350
Be9_g0u0350,4,9,g0u0350,O8-P10,543.322429,84120447947.399506
Be9_g0u0350,4,9,g0u0350,O9-P10,543.307280,1911719821.802252
Be9_g0u0350,4,9,g0u0350,O9-P11,543.313124,86030188126.464050
Be9_g0u0350,4,9,g0u0350,P10-Q12,327.601706,38158581036.907814
Be9_g0u0350,4,9,g0u0350,P11-Q12,327.595862,587031877.643531
Be9_g0u0350,4,9,g0u0350,P11-Q13,327.598491,38745079228.013626
Be9_g0u0350,4,9,g0u0350,Q12-R14,212.624729,19268153562.490517
Be9_g0u0350,4,9,g0u0350,Q13-R14,212.622101,214084320.583863
Be9_g0u0350,4,9,g0u0350,Q13-R15,212.623422,19482064718.302944
Be9_g0u0400,4,9,g0u0400,K1-L2,33390.929828,32862698061581.832031
Be9_g0u0400,4,9,g0u0400,K1-L3,33393.306483,32857849890519.714844
Be9_g0u0400,4,9,g0u0400,L2-M4,6182.087139,2821944698650.663574
Be9_g0u0400,4,9,g0u0400,L3-M4,6179.710483,564140799186.338379
Be9_g0u0400,4,9,g0u0400,L3-M5,6179.944522,3385060183353.584473
Be9_g0u0400,4,9,g0u0400,M4-N6,2161.491309,673276476702.939209
Be9_g0u0400,4,9,g0u0400,M5-N6,2161.257270,48083267657.719589
Be9_g0u0400,4,9,g0u0400,M5-N7,2161.306594,721290209716.539185
Be9_g0u0400,4,9,g0u0400,N6-O8,1000.253192,214575708792.401917
Be9_g0u0400,4,9,g0u0400,N7-O8,1000.203868,7946539903.853639
Be9_g0u0400,4,9,g0u0400,N7-O9,1000.219017,222512653629.722534
Be9_g0u0400,4,9,g0u0400,O8-P10,543.322429,84120447949.571640
Be9_g0u0400,4,9,g0u0400,O9-P10,543.307280,1911719821.856386
Be9_g0u0400,4,9,g0u0400,O9-P11,543.313124,86030188128.860229
Be9_g0u0400,4,9,g0u0400,P10-Q12,327.601706,38158581037.331993
Be9_g0u0400,4,9,g0u0400,P11-Q12,327.595862,587031877.649100
Be9_g0u0400,4,9,g0u0400,P11-Q13,327.598491,38745079228.455818
Be9_g0u0400,4,9,g0u0400,Q12-R14,212.624729,19268153562.523884
Be9_g0u0400,4,9,g0u0400,Q13-R14,212.622101,214084320.584501
Be9_g0u0400,4,9,g0u0400,Q13-R15,212.623422,19482064718.332996
Be9_g0u0450,4,9,g0u0450,K1-L2,33390.931125,32862698488592.710938
Be9_g0u0450,4,9,g0u0450,K1-L3,33393.307781,32857853814482.535156
Be9_g0u0450,4,9,g0u0450,L2-M4,6182.087224,2821944920099.839844
Be9_g0u0450,4,9,g0u0450,L3-M4,6179.710569,564140802895.977295
Be9_g0u0450,4,9,g0u0450,L3-M5,6179.944608,3385060205603.296387
Be9_g0u0450,4,9,g0u0450,M4-N6,2161.491319,673276477796.948608
Be9_g0u0450,4,9,g0u0450,M5-N6,2161.257280,48083267735.860939
Be9_g0u0450,4,9,g0u0450,M5-N7,2161.306604,721290210866.163208
Be9_g0u0450,4,9,g0u0450,N6-O8,1000.253193,214575708860.117249
Be9_g0u0450,4,9,g0u0450,N7-O8,1000.203869,7946539906.351670
Be9_g0u0450,4,9,g0u0450,N7-O9,1000.219018,222512653686.538879
Be9_g0u0450,4,9,g0u0450,O8-P10,543.322429,84120447949.003906
Be9_g0u0450,4,9,g0u0450,O9-P10,543.307280,1911719821.837163
Be9_g0u0450,4,9,g0u0450,O9-P11,543.313124,86030188128.118988
Be9_g0u0450,4,9,g0u0450,P10-Q12,327.601706,38158581037.561745
Be9_g0u0450,4,9,g0u0450,P11-Q12,327.595862,587031877.649978
Be9_g0u0450,4,9,g0u0450,P11-Q13,327.598491,38745079228.720947
Be9_g0u0450,4,9,g0u0450,Q12-R14,212.624729,19268153562.548271
Be9_g0u0450,4,9,g0u0450,Q13-R14,212.622101,214084320.584968
Be9_g0u0450,4,9,g0u0450,Q13-R15,212.623422,19482064718.354874
Be9_g0u0500,4,9,g0u0500,K1-L2,33390.932086,32862698816756.414062
Be9_g0u0500,4,9,g0u0500,K1-L3,33393.308741,32857854142639.519531
Be9_g0u0500,4,9,g0u0500,L2-M4,6182.087289,2821944934125.927246
Be9_g0u0500,4,9,g0u0500,L3-M4,6179.710633,564140805700.701904
Be9_g0u0500,4,9,g0u0500,L3-M5,6179.944672,3385060465873.294434
Be9_g0u0500,4,9,g0u0500,M4-N6,2161.491327,673276478616.141479
Be9_g0u0500,4,9,g0u0500,M5-N6,2161.257288,48083267794.371216
Be9_g0u0500,4,9,g0u0500,M5-N7,2161.306613,721290211765.963623
Be9_g0u0500,4,9,g0u0500,N6-O8,1000.253194,214575708898.905487
Be9_g0u0500,4,9,g0u0500,N7-O8,1000.203870,7946539907.796462
Be9_g0u0500,4,9,g0u0500,N7-O9,1000.219019,222512653726.582031
Be9_g0u0500,4,9,g0u0500,O8-P10,543.322429,84120447955.179916
Be9_g0u0500,4,9,g0u0500,O9-P10,543.307280,1911719821.974267
Be9_g0u0500,4,9,g0u0500,O9-P11,543.313124,86030188134.466782
Be9_g0u0500,4,9,g0u0500,P10-Q12,327.601706,38158581037.959686
Be9_g0u0500,4,9,g0u0500,P11-Q12,327.595862,587031877.659628
Be9_g0u0500,4,9,g0u0500,P11-Q13,327.598491,38745079229.082443
Be9_g0u0500,4,9,g0u0500,Q12-R14,212.624729,19268153562.566692
Be9_g0u0500,4,9,g0u0500,Q13-R14,212.622101,214084320.585323
Be9_g0u0500,4,9,g0u0500,Q13-R15,212.623422,19482064718.371460
Be9_g0u0550,4,9,g0u0550,K1-L2,33390.932819,32862702575031.218750
Be9_g0u0550,4,9,g0u0550,K1-L3,33393.309475,32857854401352.992188
Be9_g0u0550,4,9,g0u0550,L2-M4,6182.087339,2821944945005.933105
Be9_g0u0550,4,9,g0u0550,L3-M4,6179.710683,564140807876.037231
Be9_g0u0550,4,9,g0u0550,L3-M5,6179.944722,3385060478963.741211
Be9_g0u0550,4,9,g0u0550,M4-N6,2161.491334,673276479256.058960
Be9_g0u0550,4,9,g0u0550,M5-N6,2161.257295,48083267840.039017
Be9_g0u0550,4,9,g0u0550,M5-N7,2161.306619,721290212450.781860
Be9_g0u0550,4,9,g0u0550,N6-O8,1000.253195,214575708934.890869
Be9_g0u0550,4,9,g0u0550,N7-O8,1000.203871,7946539909.127650
Be9_g0u0550,4,9,g0u0550,N7-O9,1000.219020,222512653763.902161
Be9_g0u0550,4,9,g0u0550,O8-P10,543.322429,84120447951.105133
Be9_g0u0550,4,9,g0u0550,O9-P10,543.307280,1911719821.883166
Be9_g0u0550,4,9,g0u0550,O9-P11,543.313124,86030188130.283585
Be9_g0u0550,4,9,g0u0550,P10-Q12,327.601706,38158581037.972847
Be9_g0u0550,4,9,g0u0550,P11-Q12,327.595862,587031877.655225
Be9_g0u0550,4,9,g0u0550,P11-Q13,327.598491,38745079229.151024
Be9_g0u0550,4,9,g0u0550,Q12-R14,212.624729,19268153562.581051
Be9_g0u0550,4,9,g0u0550,Q13-R14,212.622101,214084320.585603
Be9_g0u0550,4,9,g0u0550,Q13-R15,212.623422,19482064718.384277
Be9_g0u0600,4,9,g0u0600,K1-L2,33390.933394,32862702783239.628906
Be9_g0u0600,4,9,g0u0600,K1-L3,33393.310049,32857854609665.039062
Be9_g0u0600,4,9,g0u0600,L2-M4,6182.087379,2821944953704.452148
Be9_g0u0600,4,9,g0u0600,L3-M4,6179.710723,564140809615.195190
Be9_g0u0600,4,9,g0u0600,L3-M5,6179.944762,3385060489394.855957
Be9_g0u0600,4,9,g0u0600,M4-N6,2161.491339,673276479763.824829
Be9_g0u0600,4,9,g0u0600,M5-N6,2161.257300,48083267876.317879
Be9_g0u0600,4,9,g0u0600,M5-N7,2161.306624,721290212994.632446
Be9_g0u0600,4,9,g0u0600,N6-O8,1000.253195,214575708963.269379
Be9_g0u0600,4,9,g0u0600,N7-O8,1000.203871,7946539910.176842
Be9_g0u0600,4,9,g0u0600,N7-O9,1000.219020,222512653793.339539
Be9_g0u0600,4,9,g0u0600,O8-P10,543.322429,84120447954.988525
Be9_g0u0600,4,9,g0u0600,O9-P10,543.307280,1911719821.972905
Be9_g0u0600,4,9,g0u0600,O9-P11,543.313124,86030188134.239532
Be9_g0u0600,4,9,g0u0600,P10-Q12,327.601706,38158581038.219269
Be9_g0u0600,4,9,g0u0600,P11-Q12,327.595862,587031877.661208
Be9_g0u0600,4,9,g0u0600,P11-Q13,327.598491,38745079229.375084
Be9_g0u0600,4,9,g0u0600,Q12-R14,212.624729,19268153562.592545
Be9_g0u0600,4,9,g0u0600,Q13-R14,212.622101,214084320.585819
Be9_g0u0600,4,9,g0u0600,Q13-R15,212.623422,19482064718.394547
Be9_g0u0700,4,9,g0u0700,K1-L2,33390.934227,32862703095628.578125
Be9_g0u0700,4,9,g0u0700,K1-L3,33393.310883,32857858418901.023438
Be9_g0u0700,4,9,g0u0700,L2-M4,6182.087438,2821944966536.195801
Be9_g0u0700,4,9,g0u0700,L3-M4,6179.710782,564140812180.708008
Be9_g0u0700,4,9,g0u0700,L3-M5,6179.944822,3385060504782.332520
Be9_g0u0700,4,9,g0u0700,M4-N6,2161.491346,673276480527.995361
Be9_g0u0700,4,9,g0u0700,M5-N6,2161.257307,48083267930.886833
Be9_g0u0700,4,9,g0u0700,M5-N7,2161.306631,721290213813.292847
Be9_g0u0700,4,9,g0u0700,N6-O8,1000.253196,214575709004.200531
Be9_g0u0700,4,9,g0u0700,N7-O8,1000.203872,7946539911.698873
Be9_g0u0700,4,9,g0u0700,N7-O9,1000.219021,222512653835.725220
Be9_g0u0700,4,9,g0u0700,O8-P10,543.322429,84120447960.723083
Be9_g0u0700,4,9,g0u0700,O9-P10,543.307280,1911719822.104595
Be9_g0u0700,4,9,g0u0700,O9-P11,543.313124,86030188130.934494
Be9_g0u0700,4,9,g0u0700,P10-Q12,327.601706,38158581038.584106
Be9_g0u0700,4,9,g0u0700,P11-Q12,327.595862,587031877.658141
Be9_g0u0700,4,9,g0u0700,P11-Q13,327.598491,38745079229.493660
Be9_g0u0700,4,9,g0u0700,Q12-R14,212.624729,19268153562.609406
Be9_g0u0700,4,9,g0u0700,Q13-R14,212.622101,214084320.586142
Be9_g0u0700,4,9,g0u0700,Q13-R15,212.623422,19482064718.409767
Be9_g0u0800,4,9,g0u0800,K1-L2,33390.934795,32862703316957.035156
