run,Z,A,setting,loggrid_step,uehling_steps,energy_tol,rc,err_bytes,wall_s,input_sha256
Be9_g0u0050,4,9,g0u0050,0.005,50,1e-07,0,0,0.619,f8eae9563a0a83cb41dbaebdad691bb0275dbfbe63d99fb79f3c69cee8801392
Be9_g0u0100,4,9,g0u0100,0.005,100,1e-07,0,0,1.120,d86e7adba5b37404ba18e2e28eab37bcf70e2e4819255b48da9aa16204b55183
Be9_g0u0150,4,9,g0u0150,0.005,150,1e-07,0,0,1.570,e0311814e6c1eddfe69556aaab819631554ab495b23a442954c77055a45e5b74
Be9_g0u0200,4,9,g0u0200,0.005,200,1e-07,0,0,2.226,386bbdeb6f2edc20ce36204ec6ae326e87ec4c5c862fe49fc2a49223712fed07
Be9_g0u0250,4,9,g0u0250,0.005,250,1e-07,0,0,2.430,df40a51abf906bb15bdc1a25424496d64d0022ec833ad95bd5a44b50e1a95c11
Be9_g0u0300,4,9,g0u0300,0.005,300,1e-07,0,0,3.430,d5b798e50630009e970a3eb8bf23a8d16ab1b8d62072d0d3c83a4097d3cc9d24
Be9_g0u0350,4,9,g0u0350,0.005,350,1e-07,0,0,3.778,e15aaa36ae19ff8bf10e91554889e502b7632785ab03e77d9f554555448d9fbc
Be9_g0u0400,4,9,g0u0400,0.005,400,1e-07,0,0,4.128,e65e34695cff7f26577fba6104d27d6be157d7cc0887117fb5033da5939b3697
Be9_g0u0450,4,9,g0u0450,0.005,450,1e-07,0,0,4.581,52cff729ba6230d10428b315de9a3b1e6a1edb3403f941bed1ac7d74acab0cfd
Be9_g0u0500,4,9,g0u0500,0.005,500,1e-07,0,0,4.980,e76bb9fabc08a42ced907ae40a5d3f3372d74c6b1060b9ad139740a3a9dd45ce
Be9_g0u0550,4,9,g0u0550,0.005,550,1e-07,0,0,4.483,773f46a3d2af777b9b77b561c0b9bd29f541b338812fe279a6200ddb8b95f2e5
Be9_g0u0600,4,9,g0u0600,0.005,600,1e-07,0,0,6.494,2faa05d01eb1b9318b48ed638190faa1d678715b50c268282d1dc7341e82c636
