run,Z,A,setting,state,n,l,s,binding_eV,total_eV
Be9_g0u0050,4,9,g0u0050,K1,1,0,1,-44512.6,1.04301e+08
Be9_g0u0050,4,9,g0u0050,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0050,4,9,g0u0050,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0050,4,9,g0u0050,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0050,4,9,g0u0050,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0050,4,9,g0u0050,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0050,4,9,g0u0050,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0050,4,9,g0u0050,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0050,4,9,g0u0050,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0050,4,9,g0u0050,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0050,4,9,g0u0050,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0050,4,9,g0u0050,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0050,4,9,g0u0050,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0050,4,9,g0u0050,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0050,4,9,g0u0050,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0100,4,9,g0u0100,K1,1,0,1,-44512.8,1.04301e+08
Be9_g0u0100,4,9,g0u0100,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0100,4,9,g0u0100,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0100,4,9,g0u0100,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0100,4,9,g0u0100,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0100,4,9,g0u0100,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0100,4,9,g0u0100,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0100,4,9,g0u0100,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0100,4,9,g0u0100,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0100,4,9,g0u0100,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0100,4,9,g0u0100,P11,6,5,1,-1234.79,1.04344e+08
Be9_g0u0100,4,9,g0u0100,Q12,7,6,0,-907.193,1.04344e+08
Be9_g0u0100,4,9,g0u0100,Q13,7,6,1,-907.19,1.04344e+08
Be9_g0u0100,4,9,g0u0100,R14,8,7,0,-694.568,1.04344e+08
Be9_g0u0100,4,9,g0u0100,R15,8,7,1,-694.567,1.04344e+08
Be9_g0u0150,4,9,g0u0150,K1,1,0,1,-44512.8,1.04301e+08
Be9_g0u0150,4,9,g0u0150,L2,2,1,0,-11121.9,1.04334e+08
Be9_g0u0150,4,9,g0u0150,L3,2,1,1,-11119.6,1.04334e+08
Be9_g0u0150,4,9,g0u0150,M4,3,2,0,-4939.86,1.0434e+08
Be9_g0u0150,4,9,g0u0150,M5,3,2,1,-4939.63,1.0434e+08
Be9_g0u0150,4,9,g0u0150,N6,4,3,0,-2778.37,1.04342e+08
Be9_g0u0150,4,9,g0u0150,N7,4,3,1,-2778.32,1.04342e+08
Be9_g0u0150,4,9,g0u0150,O8,5,4,0,-1778.12,1.04343e+08
Be9_g0u0150,4,9,g0u0150,O9,5,4,1,-1778.1,1.04343e+08
Be9_g0u0150,4,9,g0u0150,P10,6,5,0,-1234.79,1.04344e+08
Be9_g0u0150,4,9,g0u0150,P11,6,5,1,-1234.79,1.04344e+08
