run,Z,A,kind,state,n,l,s,binding_eV,total_eV
H1_base,1,1,base,K1,1,0,1,-2530.37,9.49672e+07
H1_base,1,1,base,L2,2,1,0,-632.183,9.49691e+07
H1_base,1,1,base,L3,2,1,1,-632.174,9.49691e+07
H1_base,1,1,base,M4,3,2,0,-280.961,9.49694e+07
H1_base,1,1,base,M5,3,2,1,-280.96,9.49694e+07
H1_base,1,1,base,N6,4,3,0,-158.04,9.49695e+07
H1_base,1,1,base,N7,4,3,1,-158.04,9.49695e+07
H1_base,1,1,base,O8,5,4,0,-101.145,9.49696e+07
H1_base,1,1,base,O9,5,4,1,-101.145,9.49696e+07
H1_base,1,1,base,P10,6,5,0,-70.2398,9.49696e+07
H1_base,1,1,base,P11,6,5,1,-70.2398,9.49696e+07
H1_base,1,1,base,Q12,7,6,0,-51.6048,9.49696e+07
H1_base,1,1,base,Q13,7,6,1,-51.6048,9.49696e+07
H1_base,1,1,base,R14,8,7,0,-39.5099,9.49697e+07
H1_base,1,1,base,R15,8,7,1,-39.5099,9.49697e+07
H1_rsig,1,1,rsig,K1,1,0,1,-2530.37,9.49672e+07
H1_rsig,1,1,rsig,L2,2,1,0,-632.183,9.49691e+07
H1_rsig,1,1,rsig,L3,2,1,1,-632.174,9.49691e+07
H1_rsig,1,1,rsig,M4,3,2,0,-280.961,9.49694e+07
H1_rsig,1,1,rsig,M5,3,2,1,-280.96,9.49694e+07
H1_rsig,1,1,rsig,N6,4,3,0,-158.04,9.49695e+07
H1_rsig,1,1,rsig,N7,4,3,1,-158.04,9.49695e+07
H1_rsig,1,1,rsig,O8,5,4,0,-101.145,9.49696e+07
H1_rsig,1,1,rsig,O9,5,4,1,-101.145,9.49696e+07
H1_rsig,1,1,rsig,P10,6,5,0,-70.2398,9.49696e+07
H1_rsig,1,1,rsig,P11,6,5,1,-70.2398,9.49696e+07
H1_rsig,1,1,rsig,Q12,7,6,0,-51.6048,9.49696e+07
H1_rsig,1,1,rsig,Q13,7,6,1,-51.6048,9.49696e+07
H1_rsig,1,1,rsig,R14,8,7,0,-39.5099,9.49697e+07
H1_rsig,1,1,rsig,R15,8,7,1,-39.5099,9.49697e+07
H2_base,1,2,base,K1,1,0,1,-2665.16,1.00023e+08
H2_base,1,2,base,L2,2,1,0,-665.838,1.00025e+08
H2_base,1,2,base,L3,2,1,1,-665.829,1.00025e+08
H2_base,1,2,base,M4,3,2,0,-295.917,1.00025e+08
H2_base,1,2,base,M5,3,2,1,-295.916,1.00025e+08
H2_base,1,2,base,N6,4,3,0,-166.453,1.00025e+08
H2_base,1,2,base,N7,4,3,1,-166.453,1.00025e+08
H2_base,1,2,base,O8,5,4,0,-106.53,1.00025e+08
H2_base,1,2,base,O9,5,4,1,-106.53,1.00025e+08
H2_base,1,2,base,P10,6,5,0,-73.9789,1.00025e+08
H2_base,1,2,base,P11,6,5,1,-73.9789,1.00025e+08
H2_base,1,2,base,Q12,7,6,0,-54.3518,1.00025e+08
H2_base,1,2,base,Q13,7,6,1,-54.3518,1.00025e+08
H2_base,1,2,base,R14,8,7,0,-41.6131,1.00025e+08
H2_base,1,2,base,R15,8,7,1,-41.6131,1.00025e+08
H2_rsig,1,2,rsig,K1,1,0,1,-2665.16,1.00023e+08
H2_rsig,1,2,rsig,L2,2,1,0,-665.838,1.00025e+08
H2_rsig,1,2,rsig,L3,2,1,1,-665.829,1.00025e+08
H2_rsig,1,2,rsig,M4,3,2,0,-295.917,1.00025e+08
H2_rsig,1,2,rsig,M5,3,2,1,-295.916,1.00025e+08
H2_rsig,1,2,rsig,N6,4,3,0,-166.453,1.00025e+08
H2_rsig,1,2,rsig,N7,4,3,1,-166.453,1.00025e+08
H2_rsig,1,2,rsig,O8,5,4,0,-106.53,1.00025e+08
H2_rsig,1,2,rsig,O9,5,4,1,-106.53,1.00025e+08
H2_rsig,1,2,rsig,P10,6,5,0,-73.9789,1.00025e+08
H2_rsig,1,2,rsig,P11,6,5,1,-73.9789,1.00025e+08
H2_rsig,1,2,rsig,Q12,7,6,0,-54.3518,1.00025e+08
H2_rsig,1,2,rsig,Q13,7,6,1,-54.3518,1.00025e+08
H2_rsig,1,2,rsig,R14,8,7,0,-41.6131,1.00025e+08
H2_rsig,1,2,rsig,R15,8,7,1,-41.6131,1.00025e+08
H3_base,1,3,base,K1,1,0,1,-2713.24,1.01826e+08
