Z,A,input_source,primary_experiment_id,method,calibration_inputs,covariance_source,comparison_experiment_id,dependency_state,locator
21,45,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 207, row 45Sc"
24,52,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 208, row 52Cr"
26,56,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 209, row 56Fe"
29,63,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 210, row 63Cu"
32,74,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 211, row 74Ge"
38,88,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 214, row 88Sr"
40,90,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 214, row 90Zr"
41,93,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 215, row 93Nb"
44,102,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 216, row 102Ru"
46,104,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Saito2025,UNKNOWN,"Fricke1995 Table IIIA, p. 217, row 104Pd"
46,105,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Saito2025,UNKNOWN,"Fricke1995 Table IIIA, p. 217, row 105Pd"
46,106,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Saito2025,UNKNOWN,"Fricke1995 Table IIIA, p. 217, row 106Pd"
46,108,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Saito2025,UNKNOWN,"Fricke1995 Table IIIA, p. 217, row 108Pd"
46,110,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Saito2025,UNKNOWN,"Fricke1995 Table IIIA, p. 217, row 110Pd"
47,107,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 218, row 107Ag"
49,115,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 219, row 115In"
53,127,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 221, row 127J"
55,133,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 223, row 133Cs"
60,142,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 224, row 142Nd"
79,197,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 225, row 197Au"
81,205,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 226, row 205Tl"
82,208,nuclear_radii.dat blob 92c402f80690adcefc6aaa6e23529418c4660160 (Angeli and Marinova 2013),not traced,evaluated compilation,not traced,none,Fricke1995,UNKNOWN,"Fricke1995 Table IIIA, p. 226, row 208Pb"
