source,Z,A,transition,quantity,consumer_quantity,initial_n,final_n,measured_keV,unc_keV,tol_keV,solver_keV,consumer_keV,stock_keV,solver_residual_keV,consumer_residual_keV,stock_residual_keV,solver_within,consumer_within,stock_within,consumer_closer_than_stock,representation_error_keV,solver_numeric_target_keV,solver_numeric_shifts_keV,solver_numeric_qualification,consumer_numeric_target_keV,consumer_numeric_shifts_keV,consumer_numeric_qualification,locator,copy_read
Fricke1995,21,45,2p1/2-1s1/2,K1-L2,shell_difference,2,1,855.185,0.041,0.123,855.168632818,856.36579743733323,836.752091631,-0.016367182,1.18079743733323,-18.432908369,true,false,false,true,1.19716461933323,0.0041,0.012391395;0.003049436,NOT_QUALIFIED_THROUGH_LEVEL_2,0.00147919073299466657,0.01240165766666666666666666666666666666666666667;0.003052172,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 207, row 45Sc","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,21,45,2p3/2-1s1/2,K1-L3,shell_difference,2,1,857.005,0.041,0.123,856.964379747,856.36579743733323,836.752091631,-0.040620253,-0.63920256266677,-20.252908369,true,false,false,true,-0.59858230966677,0.0041,0.012406789;0.003053540,NOT_QUALIFIED_THROUGH_LEVEL_2,0.00147919073299466657,0.01240165766666666666666666666666666666666666667;0.003052172,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 207, row 45Sc","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,24,52,2p3/2-1s1/2,K1-L3,shell_difference,2,1,1092.286,0.021,0.063,1092.000364461,1090.98835829466675,1067.947580849,-0.285635539,-1.29764170533325,-24.338419151,false,false,false,true,-1.01200616633325,0.0021,0.018343376;0.004486394,NOT_QUALIFIED_THROUGH_LEVEL_2,0.00190575218622533345,0.0183327123333333333333333333333333333333333333;0.0044835966666666666666666666666666666666666667,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 208, row 52Cr","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,26,56,2p1/2-1s1/2,K1-L2,shell_difference,2,1,1252.919,0.058,0.174,1252.746243216,1255.51093770600011,1233.725771599,-0.172756784,2.59193770600011,-19.193228401,true,false,false,true,2.76469449000011,0.0058,0.022755342;0.005547933,NOT_QUALIFIED_THROUGH_LEVEL_2,0.00221266816376600009,0.0227883613333333333333333333333333333333333333;0.0055565330000000000000000000000000000000000000,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 209, row 56Fe","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,26,56,2p3/2-1s1/2,K1-L3,shell_difference,2,1,1257.047,0.044,0.132,1256.893284951,1255.51093770600011,1233.725771599,-0.153715049,-1.53606229399989,-23.321228401,false,false,false,true,-1.38234724499989,0.0044,0.022804871;0.005560833,NOT_QUALIFIED_THROUGH_LEVEL_2,0.00221266816376600009,0.0227883613333333333333333333333333333333333333;0.0055565330000000000000000000000000000000000000,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 209, row 56Fe","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,29,63,2p1/2-1s1/2,K1-L2,shell_difference,2,1,1508.052,0.060,0.180,1507.951824562,1512.16475170399985,1490.830780261,-0.100175438,4.11275170399985,-17.221219739,true,false,false,true,4.21292714199985,0.0060,0.030078930;0.007307103,RUN_FAILED,0.00270468390184999975,0.0301387313333333333333333333333333333333333333;0.0073225123333333333333333333333333333333333334,RUN_FAILED,"Table IIIA, p. 210, row 63Cu","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,29,63,2p3/2-1s1/2,K1-L3,shell_difference,2,1,1514.452,0.047,0.141,1514.271215275,1512.16475170399985,1490.830780261,-0.180784725,-2.28724829600015,-23.621219739,false,false,false,true,-2.10646357100015,0.0047,0.030168632;0.007330217,RUN_FAILED,0.00270468390184999975,0.0301387313333333333333333333333333333333333333;0.0073225123333333333333333333333333333333333334,RUN_FAILED,"Table IIIA, p. 210, row 63Cu","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,32,74,2p1/2-1s1/2,K1-L2,shell_difference,2,1,1765.729,0.026,0.078,1765.043144757,1771.15435235566645,1756.218717492,-0.685855243,5.42535235566645,-9.510282508,false,false,false,true,6.11120759866645,0.0026,0.037468874;0.009083546,NOT_QUALIFIED_THROUGH_LEVEL_2,0.00322520270401033315,0.0375699993333333333333333333333333333333333333;0.009109398,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 211, row 74Ge","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,32,74,2p3/2-1s1/2,K1-L3,shell_difference,2,1,1774.881,0.017,0.051,1774.209956155,1771.15435235566645,1756.218717492,-0.671043845,-3.72664764433355,-18.662282508,false,false,false,true,-3.05560379933355,0.0017,0.037620562;0.009122324,NOT_QUALIFIED_THROUGH_LEVEL_2,0.00322520270401033315,0.0375699993333333333333333333333333333333333333;0.009109398,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 211, row 74Ge","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,38,88,2p1/2-1s1/2,K1-L2,shell_difference,2,1,2324.673,0.010,0.030,2324.311814226,2335.9569163826668,2309.158914693,-0.361185774,11.2839163826668,-15.514085307,false,false,false,true,11.6451021566668,0.0010,0.056349427;0.013583264,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0043915169892733334,0.0566025096666666666666666666666666666666666666;0.0136471146666666666666666666666666666666666667,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 214, row 88Sr","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,38,88,2p3/2-1s1/2,K1-L3,shell_difference,2,1,2342.192,0.008,0.024,2341.779467461,2335.9569163826668,2309.158914693,-0.412532539,-6.2350836173332,-33.033085307,false,false,false,true,-5.8225510783332,0.0008,0.056729051;0.013679040,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0043915169892733334,0.0566025096666666666666666666666666666666666666;0.0136471146666666666666666666666666666666666667,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 214, row 88Sr","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,40,90,2p1/2-1s1/2,K1-L2,shell_difference,2,1,2515.368,0.011,0.033,2515.292409825,2529.3545897923334,2503.598187696,-0.075590175,13.9865897923334,-11.769812304,false,false,false,false,14.0621799673334,0.0011,0.063175924;0.015204690,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0048085773167676668,0.0635069200000000000000000000000000000000000000;0.0152878813333333333333333333333333333333333334,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 214, row 90Zr [He86] [Ma83]","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,40,90,2p3/2-1s1/2,K1-L3,shell_difference,2,1,2536.500,0.010,0.030,2536.385679776,2529.3545897923334,2503.598187696,-0.114320224,-7.1454102076666,-32.901812304,false,false,false,true,-7.0310899836666,0.0010,0.063672418;0.015329477,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0048085773167676668,0.0635069200000000000000000000000000000000000000;0.0152878813333333333333333333333333333333333334,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 214, row 90Zr [He86] [Ma83]","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,40,90,2p1/2-1s1/2,K1-L2,shell_difference,2,1,2515.122,0.023,0.069,2515.292409825,2529.3545897923334,2503.598187696,0.170409825,14.2325897923334,-11.523812304,false,false,false,false,14.0621799673334,0.0011,0.063175924;0.015204690,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0048085773167676668,0.0635069200000000000000000000000000000000000000;0.0152878813333333333333333333333333333333333334,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 214, row 90Zr (dagger) [Ph85]","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
Fricke1995,40,90,2p3/2-1s1/2,K1-L3,shell_difference,2,1,2536.237,0.022,0.066,2536.385679776,2529.3545897923334,2503.598187696,0.148679776,-6.8824102076666,-32.638812304,false,false,false,true,-7.0310899836666,0.0010,0.063672418;0.015329477,NOT_QUALIFIED_THROUGH_LEVEL_2,0.0048085773167676668,0.0635069200000000000000000000000000000000000000;0.0152878813333333333333333333333333333333333334,NOT_QUALIFIED_THROUGH_LEVEL_2,"Table IIIA, p. 214, row 90Zr (dagger) [Ph85]","journal PDF page image, sha256 bc5867add237534426459190f7f03ab02e1a12f7f17ad46a8fe3bf962c10864f"
