record_id,source_id,source_sha256,locator,material_formula,phase,isotope_composition,temperature_K,density_g_cm3,beam_conditions,observable,normalization,reported_value,reported_uncertainty,units,efficiency_correction,attenuation_correction,cascade_correction,transfer_assumption,stopping_model,covariance_reference,primary_read,inferable_parameter,qualification,missing_inputs,capture_branch_correction
Stanislaus1987a-Table 1-17-3,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 3: Na2O2,Na2O2,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,1.00,0.05,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Na/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-4,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 4: MgO,MgO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,0.93,0.05,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Mg/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-5,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 5: Al2O3,Al2O3,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,0.94,0.03,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Al/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-6,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 6: SiO,SiO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,0.98,0.03,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Si/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-7,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 7: SiO2,SiO2,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,0.90,0.03,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Si/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-8,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 8: P2O5,P2O5,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,0.97,0.03,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(P/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-9,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 9: CaO,CaO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,1.69,0.09,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Ca/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-10,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 10: Sc2O3,Sc2O3,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.23,0.25,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Sc/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-11,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 11: TiO,TiO,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.65,0.15,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Ti/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
Stanislaus1987a-Table 1-17-12,Stanislaus1987a,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,Stanislaus1987a p.17 Table 1 row 12: TiO2,TiO2,solid,,,,,atomic_capture_ratio,ratio of atomic capture probabilities per atom; Stanislaus1987a p.7-8,2.71,0.14,,E1 counter efficiency and E2(Z) lost low-energy decay electrons; Stanislaus1987a p.7-8,E2(Z) energy losses in target and counters; Stanislaus1987a p.8,,,,Stanislaus1987a:Table 1,true,A(Ti/O),stage=terminal@Stanislaus1987a p.7;population=all_stops@Stanislaus1987a p.7;method=lifetime@Stanislaus1987a p.2;lineage=own@Stanislaus1987a p.2;inputs=unstated@Stanislaus1987a p.8,isotope_composition;temperature_K;density_g_cm3;beam_conditions;units;cascade_correction;transfer_assumption;stopping_model,"we must correct for those events where the muon is absorbed by the nucleus giving off neutrons; The Huff correction factor takes care of the fact that a negative muon in the K-orbit of the muonic atom has a lower decay probability than a free muon; Eqs. (3), (5), (8); Stanislaus1987a p.7-8"
