source_id,table,printed_page,pdf_page,row_ordinal,row_kind,target_raw,value_raw,unc_raw,column_raw,note
Stanislaus1987a,Table 1,17,9,1,caption,,,,,Table 1 : Atomic Capture Ratios of Negative Muons in Oxides
Stanislaus1987a,Table 1,17,9,2,header,,,,,Z | Oxide | Present measurement | Egidy(81) | Daniel(77) | Knight(76) | Zinov(66)
Stanislaus1987a,Table 1,17,9,3,data,Na2O2,1.00,0.05,Present measurement,
Stanislaus1987a,Table 1,17,9,4,data,MgO,0.93,0.05,Present measurement,
Stanislaus1987a,Table 1,17,9,5,data,Al2O3,0.94,0.03,Present measurement,
Stanislaus1987a,Table 1,17,9,6,data,SiO,0.98,0.03,Present measurement,
Stanislaus1987a,Table 1,17,9,7,data,SiO2,0.90,0.03,Present measurement,
Stanislaus1987a,Table 1,17,9,8,data,P2O5,0.97,0.03,Present measurement,
Stanislaus1987a,Table 1,17,9,9,data,CaO,1.69,0.09,Present measurement,
Stanislaus1987a,Table 1,17,9,10,data,Sc2O3,2.23,0.25,Present measurement,
Stanislaus1987a,Table 1,17,9,11,data,TiO,2.65,0.15,Present measurement,
Stanislaus1987a,Table 1,17,9,12,data,TiO2,2.71,0.14,Present measurement,
Stanislaus1987a,Table 1,17,9,13,data,V2O5,3.04,0.16,Present measurement,
Stanislaus1987a,Table 1,17,9,14,data,CrO3,3.15,0.13,Present measurement,
Stanislaus1987a,Table 1,17,9,15,data,MnO,2.89,0.14,Present measurement,
Stanislaus1987a,Table 1,17,9,16,data,MnO2,3.28,0.15,Present measurement,
Stanislaus1987a,Table 1,17,9,17,data,Fe2O3,3.48,0.24,Present measurement,
Stanislaus1987a,Table 1,17,9,18,data,Fe3O4,2.36,0.13,Present measurement,
Stanislaus1987a,Table 1,17,9,19,data,CoO,3.09,0.15,Present measurement,
Stanislaus1987a,Table 1,17,9,20,data,NiO,2.35,0.19,Present measurement,
Stanislaus1987a,Table 1,17,9,21,data,Cu2O,2.20,0.25,Present measurement,
Stanislaus1987a,Table 1,17,9,22,data,ZnO,3.17,0.16,Present measurement,
Stanislaus1987a,Table 1,17,9,23,data,Y2O3,3.17,0.42,Present measurement,
Stanislaus1987a,Table 1,17,9,24,data,ZrO2,2.89,0.13,Present measurement,
Stanislaus1987a,Table 1,18,9,1,caption,,,,,Table 1(continued) : Atomic Capture Ratios of Negative Muons in Oxides
Stanislaus1987a,Table 1,18,9,2,header,,,,,Z | Oxide | Present measurement | Egidy(81) | Daniel(77) | Knight(76) | Zinov(66)
Stanislaus1987a,Table 1,18,9,3,data,NbO,3.44,0.20,Present measurement,
