source_id,citation,doi,report_number,authors,kind,access,route,route_url,copy_kind,copy_sha256,same_data_as,primary_read,note
FermiTeller1947,Physical Review 72 399-408 (1947),10.1103/physrev.72.399,,Fermi; Teller,unknown,REQUEST_NEEDED,,,,,,false,
vonEgidy1981,Physical Review A 23 427-440 (1981),10.1103/physreva.23.427,,von Egidy; Denk; Bergmann; Daniel; Hartmann; Reidy; Wilhelm,unknown,REQUEST_NEEDED,,,,,,false,
Stanislaus1987a,Nuclear Physics A 475 630-641 (1987),10.1016/0375-9474(87)90229-6,,Stanislaus; Entezami; Bagheri; Measday; Garner,measurement,AVAILABLE,"KEK preprint scan (INSPIRE KEKSCAN 84-11-372, TRI-PP-84-51)",https://lib-extopc.kek.jp/preprints/PDF/1984/8411/8411372.pdf,preprint scan,e3ae6124dfccc1b41c20844b3861b0398eae8f6db2f8e96e4ec5f6ed0e1fca9d,,true,
Stanislaus1987b,Nuclear Physics A 475 642-656 (1987),10.1016/0375-9474(87)90230-2,,Stanislaus; Entezami; Measday,theory,AVAILABLE,"KEK preprint scan (INSPIRE KEKSCAN 84-11-373, TRI-PP-84-52)",https://lib-extopc.kek.jp/preprints/PDF/1984/8411/8411373.pdf,preprint scan,c1e3709da909c539404dffb8fdc1867c8881bc5681783e866f14588f85d033fd,,true,
Schneuwly1978,Nuclear Physics A 312 419-426 (1978),10.1016/0375-9474(78)90601-2,,Schneuwly; Pokrovsky; Ponomarev,theory,AVAILABLE,INSPIRE file (JINR-P4-11499 preprint),https://inspirehep.net/files/1f914e7de1ed48e24278453419481377,preprint scan,0c76c1aaf8ba5b2045c90cce47862384d511f2235af60e072df25d7e39d8bb72,,true,
Daniel1979,Zeitschrift f�r Physik A Atoms and Nuclei 291 29-31 (1979),10.1007/bf01415811,,Daniel,unknown,REQUEST_NEEDED,,,,,,false,
vonEgidy1984,Physical Review A 29 455-461 (1984),10.1103/physreva.29.455,,von Egidy; Jakubassa-Amundsen; Hartmann,unknown,REQUEST_NEEDED,,,,,,false,
vonEgidyHartmann1982,Physical Review A 26 2355-2360 (1982),10.1103/physreva.26.2355,,von Egidy; Hartmann,unknown,REQUEST_NEEDED,,,,,,false,
Imanishi1985,Physical Review A 32 2584-2588 (1985),10.1103/physreva.32.2584,,Imanishi; Furuya; Fujiwara; Shinohara; Kaji; Iwata,unknown,REQUEST_NEEDED,,,,,,false,
Imanishi1987a,Physical Review A 35 2044-2050 (1987),10.1103/physreva.35.2044,,Imanishi; Fukumura; Shinohara; Kaji,unknown,REQUEST_NEEDED,,,,,,false,
Daniel1975,Physical Review Letters 35 1649-1651 (1975),10.1103/physrevlett.35.1649,,Daniel,unknown,REQUEST_NEEDED,,,,,,false,
Ponomarev1973,Annual Review of Nuclear Science 23 395-430 (1973),10.1146/annurev.ns.23.120173.002143,,Ponomarev,unknown,REQUEST_NEEDED,,,,,,false,
Mukhopadhyay1977,Physics Reports 30 1-144 (1977),10.1016/0370-1573(77)90073-4,,Mukhopadhyay,unknown,REQUEST_NEEDED,,,,,,false,
Ninomiya2019,Journal of Radioanalytical and Nuclear Chemistry 319 767-773 (2018),10.1007/s10967-018-6366-3,,Ninomiya; Ito; Higemoto; Kawamura; Strasser; Nagatomo; Shimomura; Miyake; Kita; Shinohara; Kubo; Miura,unknown,REQUEST_NEEDED,,,,,,false,
Ninomiya2022,Bulletin of the Chemical Society of Japan 95 1769-1774 (2022),10.1246/bcsj.20220289,,Ninomiya; Kajino; Nambu; Inagaki; Kudo; Sato; Terada; Shinohara; Tomono; Kawashima; Sakai; Takayama,unknown,REQUEST_NEEDED,,,,,,false,
Inagaki2021,Radiochimica Acta 109 319-326 (2021),10.1515/ract-2020-0112,,Inagaki; Ninomiya; Nambu; Kudo; Terada; Sato; Kawashima; Tomono; Shinohara,measurement,AVAILABLE,"institutional repository (KURENAI, DSpace REST)",https://repository.kulib.kyoto-u.ac.jp/server/api/core/bitstreams/06312b0b-ccf8-4fcc-a2ed-1bd1429bb7ce/content,"repository copy, typeset",9b8abb840fd3cd73b878bec0e78adeb8fff50f256aa3c75dafdd560aa0da3b4d,,true,
Naumann1979ZPA,Zeitschrift f�r Physik A Atoms and Nuclei 291 33-34 (1979),10.1007/bf01415812,,Naumann; Daniel,unknown,REQUEST_NEEDED,,,,,,false,
Vasilyev1976,Vasilyev JINR report R1-10222 1976 atomic capture,,,,unknown,REQUEST_NEEDED,,,,,,false,
Giffon1981,Physical Review C 24 241-259 (1981),10.1103/physrevc.24.241,,Giffon; Gonçalvès; Guichon; Julien; Roussel; Samour,unknown,REQUEST_NEEDED,,,,,,false,
Daniel1978NIM,Nuclear Instruments and Methods 150 609-611 (1978),10.1016/0029-554x(78)90140-4,,Daniel,unknown,REQUEST_NEEDED,,,,,,false,
GrinKunselman1970,Physics Letters B 31 116-118 (1970),10.1016/0370-2693(70)90125-5,,Grin; Kunselman,unknown,REQUEST_NEEDED,,,,,,false,
Abazov1980,Nuclear Instruments and Methods 169 423-425 (1980),10.1016/0029-554x(80)90938-6,,Abazov; Butsev; Chultem; Knotek; Mastalka; Presperin,unknown,REQUEST_NEEDED,,,,,,false,
Bergmann1979,Physical Review A 20 633-638 (1979),10.1103/physreva.20.633,,Bergmann; Daniel; von Egidy; Hartmann; Reidy; Wilhelm,unknown,REQUEST_NEEDED,,,,,,false,
Naumann1980,Physical Review A 21 639-644 (1980),10.1103/physreva.21.639,,Naumann; Schmidt; Knight; Mausner; Orth; Schillaci,unknown,REQUEST_NEEDED,,,,,,false,
Ehrhart1983,Physical Review A 27 575-577 (1983),10.1103/physreva.27.575,,Ehrhart; Hartmann; Köhler; Daniel,unknown,REQUEST_NEEDED,,,,,,false,
Mulhauser1993,"Journal of Physics B: Atomic, Molecular and Optical Physics 26 4307-4332 (1993)",10.1088/0953-4075/26/22/032,,Mulhauser; Schneuwly,unknown,OPEN_UNFETCHED,"publisher bronze open access; bot-manager captcha on this host (plan_fetch_iop.log, plan_fetch_win2.log)",https://iopscience.iop.org/article/10.1088/0953-4075/26/22/032/pdf,,,,false,
Schneuwly1994,Physics Letters A 191 416-421 (1994),10.1016/0375-9601(94)90796-x,,Schneuwly,unknown,REQUEST_NEEDED,,,,,,false,
Schellenberg1996,Schellenberg Hyperfine Interactions 101 215 1996 muon transfer,,,,unknown,REQUEST_NEEDED,,,,,,false,
Werthmuller1996,Werthmuller Hyperfine Interactions 101 271 1996 muon transfer,,,,unknown,REQUEST_NEEDED,,,,,,false,
Tresch1996,Tresch Hyperfine Interactions 101 221 1996 muon transfer helium,,,,unknown,REQUEST_NEEDED,,,,,,false,
Augsburger1999,Augsburger PSI Scientific Report 1999 d 3He,,,,unknown,REQUEST_NEEDED,,,,,,false,
Jackson1982,Physical Review A 25 3262-3276 (1982),10.1103/physreva.25.3262,,Jackson; Lewis; O'Leary,unknown,REQUEST_NEEDED,,,,,,false,
HorvathEntezami1983,Horvath Entezami TRIUMF report TRI-83-1 1983,,,,unknown,REQUEST_NEEDED,,,,,,false,
Zinov1966,Zinov Sov. J. Nucl. Phys. 2 613 1966 atomic capture,,,,unknown,REQUEST_NEEDED,,,,,,false,
Imanishi1987b,Physical Review A 35 5244-5246 (1987),10.1103/physreva.35.5244,,Imanishi; Miyamoto; Ohashi; Shinohara,unknown,REQUEST_NEEDED,,,,,,false,
